param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  4  3  4  10  8  3  6  7  2  4  4  6  4  9  4  5  3  9
2  4  100  7  6  7  9  8  9  6  9  10  4  2  3  4  3  6  9  10
3  3  7  100  2  4  6  7  4  7  6  6  2  3  8  6  6  10  9  10
4  4  6  2  100  7  4  2  6  3  5  9  4  10  9  6  8  6  6  7
5  10  7  4  7  100  7  3  9  5  8  7  2  6  7  9  6  2  5  4
6  8  9  6  4  7  100  2  7  6  2  6  8  4  3  2  4  2  9  3
7  3  8  7  2  3  2  100  6  3  4  2  9  5  8  4  3  4  4  3
8  6  9  4  6  9  7  6  100  10  6  4  7  5  4  3  2  4  10  6
9  7  6  7  3  5  6  3  10  100  5  4  2  9  3  3  9  6  9  10
10  2  9  6  5  8  2  4  6  5  100  6  3  4  2  10  10  3  8  10
11  4  10  6  9  7  6  2  4  4  6  100  2  2  8  5  5  5  6  2
12  4  4  2  4  2  8  9  7  2  3  2  100  6  7  2  5  7  3  2
13  6  2  3  10  6  4  5  5  9  4  2  6  100  9  10  3  3  6  8
14  4  3  8  9  7  3  8  4  3  2  8  7  9  100  6  5  10  7  10
15  9  4  6  6  9  2  4  3  3  10  5  2  10  6  100  10  7  8  8
16  4  3  6  8  6  4  3  2  9  10  5  5  3  5  10  100  5  3  4
17  5  6  10  6  2  2  4  4  6  3  5  7  3  10  7  5  100  3  2
18  3  9  9  6  5  9  4  10  9  8  6  3  6  7  8  3  3  100  5
19  9  10  10  7  4  3  3  6  10  10  2  2  8  10  8  4  2  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  3  100  100  100  100  100  2  100  100  100  100  100  100  100  5  100  100  10
2  3  100  5  100  100  100  100  6  100  100  100  100  100  100  100  100  100  100  100
3  100  5  100  3  7  100  9  100  7  100  5  100  100  100  100  100  100  100  100
4  100  100  3  100  10  9  100  100  4  100  100  100  100  100  100  9  100  8  100
5  100  100  7  10  100  8  100  100  100  100  100  100  100  100  100  2  6  100  100
6  100  100  100  9  8  100  8  100  100  100  100  100  100  8  2  100  100  100  100
7  100  100  9  100  100  8  100  8  8  100  100  100  100  100  100  100  4  6  100
8  2  6  100  100  100  100  8  100  3  100  100  100  100  100  5  7  8  100  3
9  100  100  7  4  100  100  8  3  100  7  100  100  100  100  100  100  100  5  7
10  100  100  100  100  100  100  100  100  7  100  7  100  6  100  100  100  100  100  100
11  100  100  5  100  100  100  100  100  100  7  100  6  100  100  100  100  100  100  100
12  100  100  100  100  100  100  100  100  100  100  6  100  4  100  100  100  100  100  8
13  100  100  100  100  100  100  100  100  100  6  100  4  100  8  100  5  100  100  100
14  100  100  100  100  100  8  100  100  100  100  100  100  8  100  8  100  5  100  100
15  100  100  100  100  100  2  100  5  100  100  100  100  100  8  100  10  100  100  100
16  5  100  100  9  2  100  100  7  100  100  100  100  5  100  10  100  7  100  100
17  100  100  100  100  6  100  4  8  100  100  100  100  100  5  100  7  100  3  100
18  100  100  100  8  100  100  6  100  5  100  100  100  100  100  100  100  3  100  5
19  10  100  100  100  100  100  100  3  7  100  100  8  100  100  100  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  1  0  0  0  1
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1  0
10  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  1
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  8
2  5  16
3  6  15
4  1  2
5  3  4
6  8  9
7  8  19
8  17  18
9  4  9
10  7  17
11  12  13
12  1  16
13  3  11
14  8  15
15  9  18
16  13  16
17  14  17
18  10  13
;
