param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  8  6  10  5  5  10  6  3  8  6  9  6  6  2  7  9  3  9
2  8  100  7  2  9  3  7  9  8  6  5  2  2  4  10  4  4  3  9
3  6  7  100  5  7  4  2  3  3  3  7  10  8  7  6  8  2  9  10
4  10  2  5  100  9  2  3  9  9  7  9  3  9  4  8  4  6  10  8
5  5  9  7  9  100  6  6  10  7  3  2  10  6  10  10  3  6  10  2
6  5  3  4  2  6  100  5  4  2  9  5  3  4  6  6  4  5  5  6
7  10  7  2  3  6  5  100  9  3  3  3  9  9  4  4  5  9  3  2
8  6  9  3  9  10  4  9  100  3  9  5  9  2  9  10  8  3  9  4
9  3  8  3  9  7  2  3  3  100  5  6  6  2  5  8  5  6  2  2
10  8  6  3  7  3  9  3  9  5  100  4  6  6  4  9  10  5  7  4
11  6  5  7  9  2  5  3  5  6  4  100  2  2  8  3  4  5  9  6
12  9  2  10  3  10  3  9  9  6  6  2  100  3  2  8  10  4  2  6
13  6  2  8  9  6  4  9  2  2  6  2  3  100  4  9  7  7  7  2
14  6  4  7  4  10  6  4  9  5  4  8  2  4  100  8  4  10  5  9
15  2  10  6  8  10  6  4  10  8  9  3  8  9  8  100  9  10  6  6
16  7  4  8  4  3  4  5  8  5  10  4  10  7  4  9  100  6  6  6
17  9  4  2  6  6  5  9  3  6  5  5  4  7  10  10  6  100  6  10
18  3  3  9  10  10  5  3  9  2  7  9  2  7  5  6  6  6  100  5
19  9  9  10  8  2  6  2  4  2  4  6  6  2  9  6  6  10  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  2  6  100  8  2  7  100  100  100  100  100  100  100  10  100  100  100  4
2  2  100  9  100  100  100  100  100  100  100  2  100  100  9  100  10  100  3  100
3  6  9  100  8  5  100  100  3  100  100  100  100  100  100  100  100  100  100  100
4  100  100  8  100  6  100  9  100  100  100  5  100  100  9  100  4  100  100  100
5  8  100  5  6  100  5  10  100  100  100  9  100  7  100  100  100  100  100  100
6  2  100  100  100  5  100  5  7  3  5  100  3  8  100  8  100  100  10  8
7  7  100  100  9  10  5  100  5  100  100  100  100  100  100  100  4  5  100  4
8  100  100  3  100  100  7  5  100  4  100  100  100  100  3  10  100  100  100  100
9  100  100  100  100  100  3  100  4  100  7  100  9  100  100  100  100  100  100  100
10  100  100  100  100  100  5  100  100  7  100  3  100  100  100  100  5  100  100  100
11  100  2  100  5  9  100  100  100  100  3  100  6  100  100  100  6  100  100  100
12  100  100  100  100  100  3  100  100  9  100  6  100  8  100  5  100  100  9  100
13  100  100  100  100  7  8  100  100  100  100  100  8  100  10  100  100  100  100  100
14  100  9  100  9  100  100  100  3  100  100  100  100  10  100  4  100  100  100  100
15  10  100  100  100  100  8  100  10  100  100  100  5  100  4  100  7  100  100  100
16  100  10  100  4  100  100  4  100  100  5  6  100  100  100  7  100  3  100  100
17  100  100  100  100  100  100  5  100  100  100  100  100  100  100  100  3  100  9  100
18  100  3  100  100  100  10  100  100  100  100  100  9  100  100  100  100  9  100  8
19  4  100  100  100  100  8  4  100  100  100  100  100  100  100  100  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0
3  .  .  .  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
