param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  8  3  4  7  4  3  2  3  8  7  6  3  8  4  10  5  3  7
2  8  100  3  6  6  10  9  9  10  3  2  9  9  4  7  10  2  4  3
3  3  3  100  6  5  8  3  7  4  4  5  5  3  8  3  7  6  4  5
4  4  6  6  100  2  3  5  4  10  6  4  8  2  8  7  5  7  9  6
5  7  6  5  2  100  7  7  5  8  2  3  3  3  7  2  2  9  10  7
6  4  10  8  3  7  100  9  5  10  7  5  3  8  2  7  4  9  4  2
7  3  9  3  5  7  9  100  6  3  7  10  8  8  10  6  3  2  6  2
8  2  9  7  4  5  5  6  100  4  8  4  3  9  7  2  9  8  10  7
9  3  10  4  10  8  10  3  4  100  5  2  5  3  2  5  5  4  2  2
10  8  3  4  6  2  7  7  8  5  100  3  9  8  8  5  7  2  8  10
11  7  2  5  4  3  5  10  4  2  3  100  4  10  4  8  5  3  4  3
12  6  9  5  8  3  3  8  3  5  9  4  100  2  9  4  3  5  6  4
13  3  9  3  2  3  8  8  9  3  8  10  2  100  9  7  9  3  2  2
14  8  4  8  8  7  2  10  7  2  8  4  9  9  100  4  9  8  4  9
15  4  7  3  7  2  7  6  2  5  5  8  4  7  4  100  9  8  5  7
16  10  10  7  5  2  4  3  9  5  7  5  3  9  9  9  100  2  3  9
17  5  2  6  7  9  9  2  8  4  2  3  5  3  8  8  2  100  4  4
18  3  4  4  9  10  4  6  10  2  8  4  6  2  4  5  3  4  100  7
19  7  3  5  6  7  2  2  7  2  10  3  4  2  9  7  9  4  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  8  100  5  100  100  100  100  100  100  100  2  100  100  100  100  100  100  2
2  8  100  10  100  6  100  100  100  100  7  100  2  100  100  100  100  100  100  100
3  100  10  100  2  100  100  100  100  100  9  100  7  100  8  100  100  100  100  100
4  5  100  2  100  7  100  100  100  100  100  100  100  100  100  6  100  100  100  3
5  100  6  100  7  100  2  100  100  100  9  100  100  100  100  100  100  100  100  100
6  100  100  100  100  2  100  9  100  100  100  100  100  100  100  100  100  100  100  100
7  100  100  100  100  100  9  100  4  100  100  100  100  2  100  100  100  100  4  100
8  100  100  100  100  100  100  4  100  8  100  100  100  100  100  100  7  2  100  100
9  100  100  100  100  100  100  100  8  100  4  100  100  100  100  8  100  100  100  100
10  100  7  9  100  9  100  100  100  4  100  6  100  100  100  3  100  100  100  100
11  100  100  100  100  100  100  100  100  100  6  100  4  100  100  8  100  100  100  9
12  2  2  7  100  100  100  100  100  100  100  4  100  8  100  100  100  100  100  100
13  100  100  100  100  100  100  2  100  100  100  100  8  100  4  100  100  100  100  8
14  100  100  8  100  100  100  100  100  100  100  100  100  4  100  2  100  100  100  9
15  100  100  100  6  100  100  100  100  8  3  8  100  100  2  100  8  100  100  100
16  100  100  100  100  100  100  100  7  100  100  100  100  100  100  8  100  2  7  100
17  100  100  100  100  100  100  100  2  100  100  100  100  100  100  100  2  100  10  100
18  100  100  100  100  100  100  4  100  100  100  100  100  100  100  100  7  10  100  8
19  2  100  100  3  100  100  100  100  100  100  9  100  8  9  100  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1
2  .  .  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  1  0  0  0  0  1  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  12
2  1  19
3  2  12
4  3  4
5  5  6
6  7  13
7  8  17
8  14  15
9  16  17
10  4  19
11  10  15
12  7  8
13  7  18
14  9  10
15  11  12
16  13  14
17  2  5
18  4  15
;
