param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  8  2  5  2  4  2  9  5  5  5  6  7  2  2  3  7  10  7
2  8  100  5  10  9  10  2  3  3  7  2  8  3  4  5  9  4  4  9
3  2  5  100  4  10  9  7  4  7  10  7  10  4  6  3  7  5  3  9
4  5  10  4  100  5  4  2  10  4  6  2  10  7  8  9  6  7  6  2
5  2  9  10  5  100  6  2  6  6  3  2  9  5  6  2  6  8  10  4
6  4  10  9  4  6  100  3  5  10  3  4  6  5  10  2  4  8  4  9
7  2  2  7  2  2  3  100  7  4  3  5  8  4  7  3  9  7  3  9
8  9  3  4  10  6  5  7  100  8  8  7  10  9  3  9  7  8  3  9
9  5  3  7  4  6  10  4  8  100  7  4  3  2  8  10  2  8  6  10
10  5  7  10  6  3  3  3  8  7  100  5  10  10  5  5  9  3  6  10
11  5  2  7  2  2  4  5  7  4  5  100  8  9  9  3  4  5  6  7
12  6  8  10  10  9  6  8  10  3  10  8  100  9  7  10  2  7  2  3
13  7  3  4  7  5  5  4  9  2  10  9  9  100  3  7  4  9  3  9
14  2  4  6  8  6  10  7  3  8  5  9  7  3  100  4  9  8  4  9
15  2  5  3  9  2  2  3  9  10  5  3  10  7  4  100  3  2  5  2
16  3  9  7  6  6  4  9  7  2  9  4  2  4  9  3  100  2  8  3
17  7  4  5  7  8  8  7  8  8  3  5  7  9  8  2  2  100  4  4
18  10  4  3  6  10  4  3  3  6  6  6  2  3  4  5  8  4  100  4
19  7  9  9  2  4  9  9  9  10  10  7  3  9  9  2  3  4  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  3  100  100  100  100  100  8  100  100  100  100  100  100  100  100  100  5  4
2  3  100  10  4  100  100  100  100  100  100  100  100  100  7  8  100  100  100  100
3  100  10  100  6  100  100  100  100  100  100  100  100  100  9  100  100  100  100  100
4  100  4  6  100  3  100  6  2  100  9  100  100  100  2  100  100  2  100  100
5  100  100  100  3  100  2  100  100  100  100  100  100  100  100  100  9  100  100  100
6  100  100  100  100  2  100  4  100  100  100  9  5  100  5  100  100  100  100  10
7  100  100  100  6  100  4  100  4  100  100  100  100  100  100  100  100  100  100  9
8  8  100  100  2  100  100  4  100  9  100  100  100  100  100  100  100  100  100  100
9  100  100  100  100  100  100  100  9  100  9  8  100  100  100  100  3  100  100  100
10  100  100  100  9  100  100  100  100  9  100  10  100  100  100  8  100  100  100  100
11  100  100  100  100  100  9  100  100  8  10  100  2  100  100  100  100  100  100  100
12  100  100  100  100  100  5  100  100  100  100  2  100  4  100  3  100  100  100  100
13  100  100  100  100  100  100  100  100  100  100  100  4  100  2  100  100  4  100  100
14  100  7  9  2  100  5  100  100  100  100  100  100  2  100  9  100  100  100  100
15  100  8  100  100  100  100  100  100  100  8  100  3  100  9  100  6  100  100  100
16  100  100  100  100  9  100  100  100  3  100  100  100  100  100  6  100  2  3  100
17  100  100  100  2  100  100  100  100  100  100  100  100  4  100  100  2  100  5  100
18  5  100  100  100  100  100  100  100  100  100  100  100  100  100  100  3  5  100  2
19  4  100  100  100  100  10  9  100  100  100  100  100  100  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  1  0  0  0  0  0  1  0  0  1  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  1  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  1  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  1  0  0  0  0  0  1  0  0  1  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  4  8
2  4  14
3  4  17
4  5  6
5  11  12
6  13  14
7  16  17
8  18  19
9  1  2
10  4  5
11  9  16
12  12  15
13  16  18
14  1  19
15  6  7
16  12  13
17  3  4
18  10  15
