param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  8  6  3  6  3  6  6  9  10  6  9  8  6  10  8  2  7  4
2  8  100  7  8  6  10  8  9  10  7  8  10  5  5  10  4  10  2  10
3  6  7  100  3  9  8  5  4  3  8  10  10  10  4  9  5  7  7  5
4  3  8  3  100  9  6  4  7  10  4  7  10  3  2  6  10  5  4  2
5  6  6  9  9  100  10  6  2  2  2  10  9  4  8  8  2  10  7  7
6  3  10  8  6  10  100  9  3  9  2  8  4  5  8  8  7  4  6  3
7  6  8  5  4  6  9  100  5  6  5  5  5  4  9  9  6  6  7  9
8  6  9  4  7  2  3  5  100  10  4  7  7  8  7  5  10  10  8  9
9  9  10  3  10  2  9  6  10  100  7  9  10  7  6  8  10  8  2  6
10  10  7  8  4  2  2  5  4  7  100  7  4  4  9  4  6  3  3  3
11  6  8  10  7  10  8  5  7  9  7  100  5  4  6  5  9  5  2  4
12  9  10  10  10  9  4  5  7  10  4  5  100  9  8  6  9  7  3  2
13  8  5  10  3  4  5  4  8  7  4  4  9  100  10  9  8  9  10  3
14  6  5  4  2  8  8  9  7  6  9  6  8  10  100  5  7  3  5  2
15  10  10  9  6  8  8  9  5  8  4  5  6  9  5  100  5  9  2  3
16  8  4  5  10  2  7  6  10  10  6  9  9  8  7  5  100  6  9  6
17  2  10  7  5  10  4  6  10  8  3  5  7  9  3  9  6  100  4  10
18  7  2  7  4  7  6  7  8  2  3  2  3  10  5  2  9  4  100  6
19  4  10  5  2  7  3  9  9  6  3  4  2  3  2  3  6  10  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  6  100  100  100  5  2  100  100  100  100  100  3  100  100  100  100  100  8
2  6  100  4  100  100  100  100  100  100  8  100  100  100  100  100  100  100  100  100
3  100  4  100  3  100  100  100  100  100  100  100  5  100  100  3  100  100  100  100
4  100  100  3  100  3  100  100  100  100  100  100  100  100  100  100  8  100  100  100
5  100  100  100  3  100  7  100  100  10  100  8  100  100  100  2  100  100  100  100
6  5  100  100  100  7  100  3  100  100  100  100  100  100  100  100  100  100  100  100
7  2  100  100  100  100  3  100  6  100  100  100  100  100  100  100  100  100  100  100
8  100  100  100  100  100  100  6  100  4  100  100  100  100  100  100  100  100  7  100
