param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  2  3  3  3  3  7  3  10  10  10  9  10  10  9  8  6  2  9
2  2  100  7  4  8  9  5  2  2  8  4  3  7  2  5  4  2  3  4
3  3  7  100  3  5  5  7  2  4  6  8  4  8  8  6  7  10  10  2
4  3  4  3  100  10  7  7  7  6  10  9  6  8  3  8  6  3  5  9
5  3  8  5  10  100  9  5  6  4  10  8  7  3  8  5  6  9  8  8
6  3  9  5  7  9  100  2  3  10  6  8  5  2  5  3  7  8  2  3
7  7  5  7  7  5  2  100  10  3  2  2  8  8  4  3  10  4  10  5
8  3  2  2  7  6  3  10  100  6  7  7  7  6  8  3  2  8  4  4
9  10  2  4  6  4  10  3  6  100  7  7  5  7  10  8  9  10  10  10
10  10  8  6  10  10  6  2  7  7  100  7  3  6  6  7  7  10  5  10
11  10  4  8  9  8  8  2  7  7  7  100  5  7  4  5  10  7  9  10
12  9  3  4  6  7  5  8  7  5  3  5  100  6  10  5  5  10  7  7
13  10  7  8  8  3  2  8  6  7  6  7  6  100  8  6  6  3  5  3
14  10  2  8  3  8  5  4  8  10  6  4  10  8  100  8  6  7  4  2
15  9  5  6  8  5  3  3  3  8  7  5  5  6  8  100  8  9  7  2
16  8  4  7  6  6  7  10  2  9  7  10  5  6  6  8  100  6  10  3
17  6  2  10  3  9  8  4  8  10  10  7  10  3  7  9  6  100  7  8
18  2  3  10  5  8  2  10  4  10  5  9  7  5  4  7  10  7  100  3
19  9  4  2  9  8  3  5  4  10  10  10  7  3  2  2  3  8  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  8  100  100  100  100  100  100  100  100  100  100  100  10  100  100  100  100  8
2  8  100  5  100  100  100  100  100  7  100  8  100  100  100  100  100  2  100  3
3  100  5  100  5  100  100  100  100  100  100  100  6  100  100  100  5  9  100  100
4  100  100  5  100  7  6  100  100  100  100  100  100  100  100  100  100  100  100  100
5  100  100  100  7  100  5  100  4  100  100  100  100  100  100  10  100  100  100  100
6  100  100  100  6  5  100  8  100  6  100  100  100  100  100  100  100  7  100  100
7  100  100  100  100  100  8  100  6  100  100  100  100  100  100  100  100  4  6  100
8  100  100  100  100  4  100  6  100  6  100  100  100  100  100  100  8  100  100  4
9  100  7  100  100  100  6  100  6  100  10  100  100  100  100  100  100  100  7  100
10  100  100  100  100  100  100  100  100  10  100  6  100  100  100  9  100  100  100  100
11  100  8  100  100  100  100  100  100  100  6  100  4  100  100  7  7  100  100  100
12  100  100  6  100  100  100  100  100  100  100  4  100  6  100  100  100  100  100  100
13  100  100  100  100  100  100  100  100  100  100  100  6  100  5  6  100  10  100  10
14  10  100  100  100  100  100  100  100  100  100  100  100  5  100  7  6  100  100  100
15  100  100  100  100  10  100  100  100  100  9  7  100  6  7  100  3  100  100  100
16  100  100  5  100  100  100  100  8  100  100  7  100  100  6  3  100  6  100  100
17  100  2  9  100  100  7  4  100  100  100  100  100  10  100  100  6  100  4  100
18  100  100  100  100  100  100  6  100  7  100  100  100  100  100  100  100  4  100  10
19  8  3  100  100  100  100  100  4  100  100  100  100  10  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1
3  .  .  .  1  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  1  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
