param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  6  10  5  4  7  9  6  10  6  8  7  10  9  6  2  7  9  6
2  6  100  9  3  3  6  2  8  2  6  6  9  9  6  4  10  8  8  2
3  10  9  100  5  5  3  4  8  6  6  3  6  5  2  6  5  4  8  7
4  5  3  5  100  6  9  10  2  7  3  3  10  2  6  3  2  9  6  8
5  4  3  5  6  100  10  3  3  2  7  2  5  5  2  9  4  7  7  3
6  7  6  3  9  10  100  9  7  2  4  4  10  2  4  4  8  2  6  5
7  9  2  4  10  3  9  100  6  5  7  9  6  7  9  6  6  7  9  5
8  6  8  8  2  3  7  6  100  5  4  7  2  8  2  10  8  10  8  3
9  10  2  6  7  2  2  5  5  100  8  5  10  6  2  2  8  4  2  6
10  6  6  6  3  7  4  7  4  8  100  3  2  5  8  4  2  8  4  4
11  8  6  3  3  2  4  9  7  5  3  100  8  9  7  10  4  6  6  2
12  7  9  6  10  5  10  6  2  10  2  8  100  8  10  9  5  9  4  2
13  10  9  5  2  5  2  7  8  6  5  9  8  100  8  10  8  3  9  10
14  9  6  2  6  2  4  9  2  2  8  7  10  8  100  4  5  7  7  4
15  6  4  6  3  9  4  6  10  2  4  10  9  10  4  100  8  8  2  7
16  2  10  5  2  4  8  6  8  8  2  4  5  8  5  8  100  5  4  9
17  7  8  4  9  7  2  7  10  4  8  6  9  3  7  8  5  100  4  8
18  9  8  8  6  7  6  9  8  2  4  6  4  9  7  2  4  4  100  10
19  6  2  7  8  3  5  5  3  6  4  2  2  10  4  7  9  8  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  8  100  4  100  100  10  100  100  100  3  100  7  100  100  100  100  100  7
2  8  100  3  100  6  2  100  100  100  100  100  100  2  100  100  100  7  100  100
3  100  3  100  5  8  100  100  100  100  100  8  100  100  4  100  5  100  100  100
4  4  100  5  100  9  100  2  100  100  7  100  7  100  100  100  100  100  100  100
5  100  6  8  9  100  6  3  100  100  100  100  100  100  100  100  100  100  5  100
6  100  2  100  100  6  100  10  100  100  100  100  100  100  2  7  100  100  100  5
7  10  100  100  2  3  10  100  3  100  8  100  2  100  100  100  100  100  100  100
8  100  100  100  100  100  100  3  100  4  100  100  2  100  100  100  100  100  100  100
9  100  100  100  100  100  100  100  4  100  2  100  100  7  100  100  100  100  9  3
10  100  100  100  7  100  100  8  100  2  100  7  5  100  100  100  100  100  100  100
11  3  100  8  100  100  100  100  100  100  7  100  10  5  100  100  5  6  100  100
12  100  100  100  7  100  100  2  2  100  5  10  100  2  100  6  100  100  100  2
13  7  2  100  100  100  100  100  100  7  100  5  2  100  6  100  4  100  100  10
14  100  100  4  100  100  2  100  100  100  100  100  100  6  100  9  100  2  100  100
15  100  100  100  100  100  7  100  100  100  100  100  6  100  9  100  2  6  6  100
16  100  100  5  100  100  100  100  100  100  100  5  100  4  100  2  100  8  100  100
17  100  7  100  100  100  100  100  100  100  100  6  100  100  2  6  8  100  8  100
18  100  100  100  100  5  100  100  100  9  100  100  100  100  100  6  100  8  100  7
19  7  100  100  100  100  5  100  100  3  100  100  2  10  100  100  100  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
2  .  .  1  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  1  0  0  0  0  0  0  0  0  0  0  1  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  1
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  6
2  2  13
3  4  7
4  6  14
5  7  12
6  8  12
7  9  10
8  12  13
9  12  19
10  14  17
11  15  16
12  1  11
13  2  3
14  5  7
15  9  19
16  1  4
17  13  16
18  5  18
;
