param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  3  9  9  7  10  3  8  8  7  9  5  5  3  8  7  4  4  2
2  3  100  5  2  3  8  4  5  5  3  2  5  10  7  8  3  4  10  7
3  9  5  100  6  4  9  8  2  2  8  4  2  9  8  6  4  6  10  5
4  9  2  6  100  5  7  5  5  3  9  5  9  8  2  5  6  8  8  10
5  7  3  4  5  100  6  4  8  9  10  7  9  10  9  2  4  3  2  10
6  10  8  9  7  6  100  10  6  6  4  9  10  8  6  6  7  8  5  2
7  3  4  8  5  4  10  100  5  3  6  7  6  8  5  8  4  3  4  3
8  8  5  2  5  8  6  5  100  8  2  6  8  8  5  2  10  3  5  8
9  8  5  2  3  9  6  3  8  100  4  3  2  9  10  3  6  3  10  4
10  7  3  8  9  10  4  6  2  4  100  9  2  10  4  10  7  5  9  10
11  9  2  4  5  7  9  7  6  3  9  100  4  10  7  2  10  3  3  6
12  5  5  2  9  9  10  6  8  2  2  4  100  4  8  7  8  5  6  8
13  5  10  9  8  10  8  8  8  9  10  10  4  100  5  4  9  3  5  6
14  3  7  8  2  9  6  5  5  10  4  7  8  5  100  2  5  2  5  10
15  8  8  6  5  2  6  8  2  3  10  2  7  4  2  100  8  4  7  3
16  7  3  4  6  4  7  4  10  6  7  10  8  9  5  8  100  5  6  10
17  4  4  6  8  3  8  3  3  3  5  3  5  3  2  4  5  100  3  9
18  4  10  10  8  2  5  4  5  10  9  3  6  5  5  7  6  3  100  3
19  2  7  5  10  10  2  3  8  4  10  6  8  6  10  3  10  9  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  8  7  100  100  100  100  100  9  100  100  100  100  100  100  100  100  100  9
2  8  100  10  2  100  100  100  2  100  100  100  100  100  100  3  8  100  100  100
3  7  10  100  2  100  100  100  4  100  100  100  100  100  100  8  100  100  100  100
4  100  2  2  100  6  100  100  3  100  2  100  100  100  100  100  100  100  100  100
5  100  100  100  6  100  10  100  100  100  100  100  100  100  100  100  100  100  100  100
6  100  100  100  100  10  100  8  100  100  100  100  100  100  100  100  100  100  100  100
7  100  100  100  100  100  8  100  6  100  100  100  5  100  100  100  100  100  100  100
8  100  2  4  3  100  100  6  100  3  6  100  100  100  100  100  100  100  100  100
9  9  100  100  100  100  100  100  3  100  10  100  100  3  100  100  100  100  7  4
10  100  100  100  2  100  100  100  6  10  100  5  100  6  8  100  100  100  100  100
11  100  100  100  100  100  100  100  100  100  5  100  6  100  6  100  100  4  10  100
12  100  100  100  100  100  100  5  100  100  100  6  100  2  2  100  100  100  100  100
13  100  100  100  100  100  100  100  100  3  6  100  2  100  10  8  100  4  100  100
14  100  100  100  100  100  100  100  100  100  8  6  2  10  100  9  100  4  100  100
15  100  3  8  100  100  100  100  100  100  100  100  100  8  9  100  5  100  7  100
16  100  8  100  100  100  100  100  100  100  100  100  100  100  100  5  100  9  100  100
17  100  100  100  100  100  100  100  100  100  100  4  100  4  4  100  9  100  4  100
18  100  100  100  100  100  100  100  100  7  100  10  100  100  100  7  100  4  100  6
19  9  100  100  100  100  100  100  100  4  100  100  100  100  100  100  100  100  6  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0  0  1
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  1  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  1  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  1  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
