param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  3  9  10  6  2  5  2  2  4  2  10  2  4  9  10
2  3  100  4  9  3  5  6  10  5  9  10  4  10  6  6  8
3  9  4  100  9  3  5  4  9  9  10  5  7  8  2  4  6
4  10  9  9  100  3  3  2  10  10  5  10  3  3  8  4  7
5  6  3  3  3  100  7  8  4  6  8  5  3  2  5  5  5
6  2  5  5  3  7  100  10  9  10  4  7  6  3  4  3  3
7  5  6  4  2  8  10  100  8  9  10  4  7  7  4  4  9
8  2  10  9  10  4  9  8  100  10  7  2  6  9  8  5  3
9  2  5  9  10  6  10  9  10  100  2  8  8  3  10  4  5
10  4  9  10  5  8  4  10  7  2  100  5  4  3  8  2  4
11  2  10  5  10  5  7  4  2  8  5  100  5  5  5  4  7
12  10  4  7  3  3  6  7  6  8  4  5  100  3  2  2  6
13  2  10  8  3  2  3  7  9  3  3  5  3  100  2  4  5
14  4  6  2  8  5  4  4  8  10  8  5  2  2  100  6  8
15  9  6  4  4  5  3  4  5  4  2  4  2  4  6  100  3
16  10  8  6  7  5  3  9  3  5  4  7  6  5  8  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  9  100  100  100  100  100  100  100  100  100  9  100  100  100  6
2  9  100  10  100  100  9  6  7  100  100  100  100  100  100  100  2
3  100  10  100  10  100  100  100  100  100  100  100  100  100  4  100  8
4  100  100  10  100  7  100  100  100  8  100  100  100  100  2  100  100
5  100  100  100  7  100  6  100  100  5  100  100  3  4  100  10  100
6  100  9  100  100  6  100  9  8  100  5  3  100  3  100  3  100
7  100  6  100  100  100  9  100  7  7  100  100  100  100  6  100  100
8  100  7  100  100  100  8  7  100  5  2  100  100  100  100  100  100
9  100  100  100  8  5  100  7  5  100  6  100  100  100  100  100  100
10  100  100  100  100  100  5  100  2  6  100  5  100  100  5  100  100
11  100  100  100  100  100  3  100  100  100  5  100  8  100  100  100  100
12  9  100  100  100  3  100  100  100  100  100  8  100  10  100  100  100
13  100  100  100  100  4  3  100  100  100  100  100  10  100  8  100  100
14  100  100  4  2  100  100  6  100  100  5  100  100  8  100  5  100
15  100  100  100  100  10  3  100  100  100  100  100  100  100  5  100  5
16  6  2  8  100  100  100  100  100  100  100  100  100  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  1
3  .  .  .  0  0  0  0  0  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  1  0  0
5  .  .  .  .  .  0  0  0  1  0  0  1  1  0  0  0
6  .  .  .  .  .  .  0  0  0  1  1  0  1  0  1  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  1
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  1  0  0
5  .  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  1  0  1  0  1  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  16
2  4  14
3  8  10
4  5  12
5  6  11
6  6  13
7  6  15
8  3  14
9  5  13
10  5  9
11  6  10
12  10  14
13  15  16
14  1  16
15  2  7
;
