param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  2  2  8  9  5  5  6  3  9  5  8  5  4  9  5
2  2  100  5  9  7  3  3  7  9  5  2  2  9  2  10  10
3  2  5  100  2  2  7  5  4  2  6  7  9  5  6  3  3
4  8  9  2  100  8  9  6  4  9  4  7  2  8  10  6  9
5  9  7  2  8  100  4  3  4  10  10  7  7  8  2  8  3
6  5  3  7  9  4  100  4  6  2  2  2  10  7  4  6  5
7  5  3  5  6  3  4  100  4  6  9  7  3  4  2  2  8
8  6  7  4  4  4  6  4  100  9  10  2  10  10  4  7  4
9  3  9  2  9  10  2  6  9  100  9  9  4  2  7  2  9
10  9  5  6  4  10  2  9  10  9  100  7  9  8  10  7  9
11  5  2  7  7  7  2  7  2  9  7  100  7  7  6  4  6
12  8  2  9  2  7  10  3  10  4  9  7  100  4  6  4  6
13  5  9  5  8  8  7  4  10  2  8  7  4  100  3  6  6
14  4  2  6  10  2  4  2  4  7  10  6  6  3  100  3  9
15  9  10  3  6  8  6  2  7  2  7  4  4  6  3  100  3
16  5  10  3  9  3  5  8  4  9  9  6  6  6  9  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  2  100  100  100  100  100  5  100  100  100  100  100  10  100  5
2  2  100  5  100  100  2  7  100  100  100  100  100  100  100  100  100
3  100  5  100  4  7  100  100  100  100  100  100  100  100  3  5  3
4  100  100  4  100  6  100  3  100  7  100  100  100  10  100  3  100
5  100  100  7  6  100  6  100  100  3  100  100  100  6  100  100  100
6  100  2  100  100  6  100  6  100  100  100  2  7  100  100  100  100
7  100  7  100  3  100  6  100  8  4  100  100  100  100  9  100  100
8  5  100  100  100  100  100  8  100  7  100  100  100  100  100  100  100
9  100  100  100  7  3  100  4  7  100  6  100  100  9  100  100  10
10  100  100  100  100  100  100  100  100  6  100  2  100  100  100  100  100
11  100  100  100  100  100  2  100  100  100  2  100  4  100  9  100  100
12  100  100  100  100  100  7  100  100  100  100  4  100  8  100  100  100
13  100  100  100  10  6  100  100  100  9  100  100  8  100  4  100  100
14  10  100  3  100  100  100  9  100  100  100  9  100  4  100  4  100
15  100  100  5  3  100  100  100  100  100  100  100  100  100  4  100  3
16  5  100  3  100  100  100  100  100  10  100  100  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0
2  .  .  0  0  0  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  1  0  1
4  .  .  .  .  0  0  1  0  0  0  0  0  0  0  1  0
5  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  1  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  1  0  1
4  .  .  .  .  0  0  1  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  2  6
3  6  11
4  10  11
5  3  14
6  3  16
7  4  7
8  4  15
9  5  9
10  15  16
11  3  4
12  7  9
13  11  12
14  13  14
15  1  8
;
