param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  7  8  5  5  9  6  3  3  6  4  3  9  2  2  4
2  7  100  8  5  5  7  8  5  5  4  4  7  6  6  7  2
3  8  8  100  8  5  4  6  3  4  3  6  10  6  8  10  10
4  5  5  8  100  2  6  8  9  5  4  10  6  8  9  10  2
5  5  5  5  2  100  4  5  9  8  4  8  7  8  7  3  3
6  9  7  4  6  4  100  10  5  4  2  10  6  10  4  10  6
7  6  8  6  8  5  10  100  7  8  10  2  2  9  10  2  4
8  3  5  3  9  9  5  7  100  8  4  8  9  6  2  4  3
9  3  5  4  5  8  4  8  8  100  3  10  4  10  4  10  4
10  6  4  3  4  4  2  10  4  3  100  7  3  4  9  9  7
11  4  4  6  10  8  10  2  8  10  7  100  7  8  10  4  2
12  3  7  10  6  7  6  2  9  4  3  7  100  3  2  10  10
13  9  6  6  8  8  10  9  6  10  4  8  3  100  8  2  8
14  2  6  8  9  7  4  10  2  4  9  10  2  8  100  7  4
15  2  7  10  10  3  10  2  4  10  9  4  10  2  7  100  8
16  4  2  10  2  3  6  4  3  4  7  2  10  8  4  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  2  10  100  9  100  5  100  100  100  100  100  100  100  9  5
2  2  100  9  100  9  5  3  10  100  100  100  100  100  8  100  100
3  10  9  100  8  100  9  100  100  100  100  100  3  10  6  100  10
4  100  100  8  100  10  100  9  100  100  100  100  100  100  7  8  100
5  9  9  100  10  100  5  100  100  100  100  3  100  100  100  100  100
6  100  5  9  100  5  100  10  100  100  100  100  100  9  8  100  100
7  5  3  100  9  100  10  100  6  100  100  100  9  100  100  100  4
8  100  10  100  100  100  100  6  100  7  4  100  100  5  6  100  6
9  100  100  100  100  100  100  100  7  100  2  9  100  8  100  100  100
10  100  100  100  100  100  100  100  4  2  100  10  100  100  10  8  100
11  100  100  100  100  3  100  100  100  9  10  100  9  100  4  100  100
12  100  100  3  100  100  100  9  100  100  100  9  100  8  100  100  100
13  100  100  10  100  100  9  100  5  8  100  100  8  100  5  100  100
14  100  8  6  7  100  8  100  6  100  10  4  100  5  100  5  100
15  9  100  100  8  100  100  100  100  100  8  100  100  100  5  100  8
16  5  100  10  100  100  100  4  6  100  100  100  100  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  1  1  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  1  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  1  0  0
5  .  .  .  .  .  1  0  0  0  0  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1
8  .  .  .  .  .  .  .  .  0  1  0  0  1  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1
8  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  9  10
3  2  7
4  3  12
5  5  11
6  7  16
7  8  10
8  11  14
9  2  6
10  5  6
11  8  13
12  13  14
13  14  15
14  3  14
15  4  14
;
