param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  3  7  7  10  4  10  3  4  9  2  8  2  6  4  3
2  3  100  8  7  6  10  3  3  9  8  8  5  5  8  4  5
3  7  8  100  8  2  4  3  10  5  6  6  7  10  2  10  5
4  7  7  8  100  4  4  9  3  4  10  3  9  4  9  8  6
5  10  6  2  4  100  4  4  2  3  6  9  3  6  10  6  2
6  4  10  4  4  4  100  9  7  9  3  3  2  3  2  8  5
7  10  3  3  9  4  9  100  4  2  4  5  10  9  9  6  2
8  3  3  10  3  2  7  4  100  4  10  5  2  6  7  6  9
9  4  9  5  4  3  9  2  4  100  6  2  7  5  7  8  9
10  9  8  6  10  6  3  4  10  6  100  6  3  3  4  4  10
11  2  8  6  3  9  3  5  5  2  6  100  8  7  9  4  3
12  8  5  7  9  3  2  10  2  7  3  8  100  10  9  10  5
13  2  5  10  4  6  3  9  6  5  3  7  10  100  3  3  4
14  6  8  2  9  10  2  9  7  7  4  9  9  3  100  3  8
15  4  4  10  8  6  8  6  6  8  4  4  10  3  3  100  2
16  3  5  5  6  2  5  2  9  9  10  3  5  4  8  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  6  100  100  100  100  100  100  2  100  100  5  100  100  3  2
2  6  100  9  100  5  100  6  5  10  100  100  100  100  100  100  100
3  100  9  100  5  100  100  100  100  100  8  8  100  100  8  100  100
4  100  100  5  100  9  100  100  100  100  100  3  100  100  100  100  100
5  100  5  100  9  100  5  100  100  100  100  100  100  100  100  100  100
6  100  100  100  100  5  100  5  100  9  9  5  2  100  100  100  100
7  100  6  100  100  100  5  100  10  2  100  8  100  100  8  100  100
8  100  5  100  100  100  100  10  100  8  100  100  100  100  100  100  100
9  2  10  100  100  100  9  2  8  100  3  100  100  100  100  3  100
10  100  100  8  100  100  9  100  100  3  100  5  100  5  100  100  100
11  100  100  8  3  100  5  8  100  100  5  100  6  100  100  100  100
12  5  100  100  100  100  2  100  100  100  100  6  100  2  100  100  100
13  100  100  100  100  100  100  100  100  100  5  100  2  100  6  100  100
14  100  100  8  100  100  100  8  100  100  100  100  100  6  100  9  100
15  3  100  100  100  100  100  100  100  3  100  100  100  100  9  100  2
16  2  100  100  100  100  100  100  100  100  100  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  1  0  0  1  0  0  0  1
2  .  .  0  0  1  0  0  1  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  1  1  0  0  0  0
7  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0
7  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  9
2  1  16
3  6  12
4  7  9
5  12  13
6  15  16
7  4  11
8  9  10
9  1  12
10  2  5
11  2  8
12  3  4
13  5  6
14  6  11
15  13  14
;
