param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  2  8  3  10  6  3  8  2  10  3  10  3  6  9  8
2  2  100  3  2  9  9  4  5  8  5  9  3  3  10  4  4
3  8  3  100  2  8  5  5  9  8  8  8  3  8  6  10  7
4  3  2  2  100  6  7  2  9  5  4  7  2  10  2  6  8
5  10  9  8  6  100  6  9  5  2  7  4  4  5  8  9  6
6  6  9  5  7  6  100  4  10  5  2  2  7  8  9  4  5
7  3  4  5  2  9  4  100  7  7  3  9  5  5  7  5  10
8  8  5  9  9  5  10  7  100  3  2  3  5  8  8  10  6
9  2  8  8  5  2  5  7  3  100  9  9  8  6  8  3  6
10  10  5  8  4  7  2  3  2  9  100  3  8  9  2  10  5
11  3  9  8  7  4  2  9  3  9  3  100  3  5  5  6  7
12  10  3  3  2  4  7  5  5  8  8  3  100  6  7  8  7
13  3  3  8  10  5  8  5  8  6  9  5  6  100  9  2  6
14  6  10  6  2  8  9  7  8  8  2  5  7  9  100  10  8
15  9  4  10  6  9  4  5  10  3  10  6  8  2  10  100  5
16  8  4  7  8  6  5  10  6  6  5  7  7  6  8  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  6  100  100  100  100  100  2  100  100  100  100  6  100  100  2
2  6  100  3  100  6  100  8  100  100  100  100  100  100  100  100  100
3  100  3  100  4  100  100  100  100  100  100  100  100  100  100  100  100
4  100  100  4  100  3  100  100  100  100  10  100  5  10  100  100  100
5  100  6  100  3  100  7  100  100  100  100  100  100  6  8  100  100
6  100  100  100  100  7  100  8  7  100  6  100  7  100  100  100  100
7  100  8  100  100  100  8  100  10  100  100  100  100  100  100  100  100
8  2  100  100  100  100  7  10  100  3  100  100  100  100  100  100  100
9  100  100  100  100  100  100  100  3  100  7  100  100  10  100  8  100
10  100  100  100  10  100  6  100  100  7  100  2  100  8  100  100  100
11  100  100  100  100  100  100  100  100  100  2  100  7  100  100  100  100
12  100  100  100  5  100  7  100  100  100  100  7  100  2  100  100  100
13  6  100  100  10  6  100  100  100  10  8  100  2  100  6  100  100
14  100  100  100  100  8  100  100  100  100  100  100  100  6  100  2  100
15  100  100  100  100  100  100  100  100  8  100  100  100  100  2  100  4
16  2  100  100  100  100  100  100  100  100  100  100  100  100  100  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  1  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  1  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  8
2  1  16
3  10  11
4  12  13
5  14  15
6  2  3
7  4  5
8  8  9
9  3  4
10  15  16
11  4  12
12  1  2
13  6  10
14  5  6
15  2  7
;
