param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  9  10  2  8  3  7  2  6  6  2  2  4  3  3  2
2  9  100  7  9  6  6  6  2  9  6  9  8  6  10  6  2
3  10  7  100  7  2  9  9  8  10  5  2  10  7  7  8  8
4  2  9  7  100  3  6  10  8  7  3  2  4  10  8  10  6
5  8  6  2  3  100  7  10  4  5  2  10  6  4  9  10  8
6  3  6  9  6  7  100  7  9  8  4  4  8  7  6  5  4
7  7  6  9  10  10  7  100  3  9  2  6  5  10  7  2  5
8  2  2  8  8  4  9  3  100  6  3  8  2  5  2  7  9
9  6  9  10  7  5  8  9  6  100  6  2  5  4  4  4  3
10  6  6  5  3  2  4  2  3  6  100  3  4  5  10  3  9
11  2  9  2  2  10  4  6  8  2  3  100  9  5  2  7  6
12  2  8  10  4  6  8  5  2  5  4  9  100  2  6  8  8
13  4  6  7  10  4  7  10  5  4  5  5  2  100  4  4  7
14  3  10  7  8  9  6  7  2  4  10  2  6  4  100  2  7
15  3  6  8  10  10  5  2  7  4  3  7  8  4  2  100  9
16  2  2  8  6  8  4  5  9  3  9  6  8  7  7  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  8  100  100  100  100  100  100  100  100  100  100  100  100  100  10
2  8  100  9  100  100  100  7  100  100  100  100  100  100  100  100  100
3  100  9  100  7  100  100  2  100  100  100  100  100  8  100  100  100
4  100  100  7  100  6  8  100  100  100  100  100  100  100  100  100  100
5  100  100  100  6  100  8  100  4  4  6  100  8  100  100  100  100
6  100  100  100  8  8  100  10  100  100  100  100  9  10  100  100  100
7  100  7  2  100  100  10  100  2  10  100  100  100  4  100  100  100
8  100  100  100  100  4  100  2  100  4  100  100  100  100  4  3  100
9  100  100  100  100  4  100  10  4  100  5  100  100  100  100  100  100
10  100  100  100  100  6  100  100  100  5  100  10  100  100  100  100  100
11  100  100  100  100  100  100  100  100  100  10  100  5  8  100  100  100
12  100  100  100  100  8  9  100  100  100  100  5  100  10  100  100  100
13  100  100  8  100  100  10  4  100  100  100  8  10  100  6  2  6
14  100  100  100  100  100  100  100  4  100  100  100  100  6  100  10  100
15  100  100  100  100  100  100  100  3  100  100  100  100  2  10  100  3
16  10  100  100  100  100  100  100  100  100  100  100  100  6  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  1  1  0  0  1  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  1  1  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  1  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  7
2  7  8
3  13  15
4  8  15
5  15  16
6  5  8
7  5  9
8  8  14
9  9  10
10  11  12
11  4  5
12  2  7
13  1  2
14  4  6
15  5  12
;
