param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  4  8  2  6  6  7  8  6  6  7  10  7  3  6  6
2  4  100  4  6  8  8  2  6  8  2  4  9  9  7  10  2
3  8  4  100  4  8  6  6  10  3  10  8  7  10  8  8  3
4  2  6  4  100  5  9  5  4  10  2  9  5  5  6  5  7
5  6  8  8  5  100  9  5  2  6  2  7  6  6  9  4  8
6  6  8  6  9  9  100  3  7  9  9  4  2  10  8  10  6
7  7  2  6  5  5  3  100  9  3  4  3  10  6  2  5  6
8  8  6  10  4  2  7  9  100  3  5  6  5  8  2  8  3
9  6  8  3  10  6  9  3  3  100  3  8  10  8  9  6  10
10  6  2  10  2  2  9  4  5  3  100  3  2  9  10  5  4
11  7  4  8  9  7  4  3  6  8  3  100  3  2  9  2  6
12  10  9  7  5  6  2  10  5  10  2  3  100  8  2  8  5
13  7  9  10  5  6  10  6  8  8  9  2  8  100  7  4  8
14  3  7  8  6  9  8  2  2  9  10  9  2  7  100  3  9
15  6  10  8  5  4  10  5  8  6  5  2  8  4  3  100  3
16  6  2  3  7  8  6  6  3  10  4  6  5  8  9  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  5  100  100  100  100  100  100  100  9  100  3  100  100  7  3
2  5  100  2  100  100  6  100  100  100  100  100  10  100  100  3  100
3  100  2  100  5  100  100  100  100  100  100  100  100  100  100  100  100
4  100  100  5  100  7  100  3  100  100  100  100  100  100  100  3  100
5  100  100  100  7  100  7  100  100  5  100  2  100  100  3  100  100
6  100  6  100  100  7  100  7  100  100  100  2  100  100  100  100  6
7  100  100  100  3  100  7  100  6  100  100  10  100  6  4  100  100
8  100  100  100  100  100  100  6  100  4  100  100  4  100  100  100  100
9  100  100  100  100  5  100  100  4  100  9  100  4  100  100  2  100
10  9  100  100  100  100  100  100  100  9  100  2  100  100  100  5  7
11  100  100  100  100  2  2  10  100  100  2  100  6  8  100  9  100
12  3  10  100  100  100  100  100  4  4  100  6  100  8  100  100  7
13  100  100  100  100  100  100  6  100  100  100  8  8  100  10  100  100
14  100  100  100  100  3  100  4  100  100  100  100  100  10  100  3  10
15  7  3  100  3  100  100  100  100  2  5  9  100  100  3  100  7
16  3  100  100  100  100  6  100  100  100  7  100  7  100  10  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  1  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0  0  1  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0  1  0  0
6  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  1  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  1  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  3
2  5  11
3  6  11
4  9  15
5  10  11
6  1  12
7  1  16
8  2  15
9  4  7
10  4  15
11  5  14
12  14  15
13  8  9
14  8  12
15  1  2
;
