param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  8  3  4  4  9  2  7  6  2  9  10  6  6  8  6
2  8  100  3  8  5  10  5  10  2  6  9  9  3  7  10  7
3  3  3  100  2  2  6  5  2  9  4  4  2  9  7  9  10
4  4  8  2  100  8  6  10  6  9  7  6  3  2  10  3  3
5  4  5  2  8  100  7  3  2  2  6  7  9  7  7  6  3
6  9  10  6  6  7  100  4  9  6  10  8  6  10  10  7  7
7  2  5  5  10  3  4  100  2  5  8  3  5  6  3  4  9
8  7  10  2  6  2  9  2  100  2  8  10  5  8  5  5  4
9  6  2  9  9  2  6  5  2  100  5  9  8  8  3  5  8
10  2  6  4  7  6  10  8  8  5  100  10  7  6  8  6  4
11  9  9  4  6  7  8  3  10  9  10  100  9  3  9  8  6
12  10  9  2  3  9  6  5  5  8  7  9  100  10  5  3  10
13  6  3  9  2  7  10  6  8  8  6  3  10  100  3  7  3
14  6  7  7  10  7  10  3  5  3  8  9  5  3  100  2  8
15  8  10  9  3  6  7  4  5  5  6  8  3  7  2  100  5
16  6  7  10  3  3  7  9  4  8  4  6  10  3  8  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  3  100  100  7  100  100  100  100  100  100  5  100  100  9  4
2  3  100  9  100  100  100  100  100  100  100  100  100  100  100  4  100
3  100  9  100  9  100  100  100  100  100  100  100  5  5  100  100  100
4  100  100  9  100  8  4  7  100  100  100  100  100  100  5  100  7
5  7  100  100  8  100  4  100  100  100  100  100  9  100  100  100  100
6  100  100  100  4  4  100  4  6  100  100  100  100  100  100  100  100
7  100  100  100  7  100  4  100  9  10  5  8  100  8  100  100  100
8  100  100  100  100  100  6  9  100  2  9  100  100  100  100  100  100
9  100  100  100  100  100  100  10  2  100  3  10  100  100  100  100  100
10  100  100  100  100  100  100  5  9  3  100  2  100  100  100  100  100
11  100  100  100  100  100  100  8  100  10  2  100  6  100  3  100  100
12  5  100  5  100  9  100  100  100  100  100  6  100  3  9  10  6
13  100  100  5  100  100  100  8  100  100  100  100  3  100  7  2  100
14  100  100  100  5  100  100  100  100  100  100  3  9  7  100  9  100
15  9  4  100  100  100  100  100  100  100  100  100  10  2  9  100  8
16  4  100  100  7  100  100  100  100  100  100  100  6  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  1  0
3  .  .  .  0  0  0  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  1  0  0  0  0  0  0  0  1  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  1  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  8  9
2  10  11
3  13  15
4  1  2
5  9  10
6  11  14
7  12  13
8  1  16
9  2  15
10  4  6
11  5  6
12  6  7
13  3  12
14  4  14
15  11  12
;
