param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  3  3  2  5  5  8  7  8  6  7  10  9  6  5  4
2  3  100  8  8  6  10  5  6  2  8  6  7  8  4  6  9
3  3  8  100  10  3  10  2  4  5  8  7  6  10  3  6  8
4  2  8  10  100  8  8  4  7  5  9  9  7  3  9  5  9
5  5  6  3  8  100  7  7  4  2  6  7  3  4  6  5  5
6  5  10  10  8  7  100  5  10  4  4  7  2  6  9  9  9
7  8  5  2  4  7  5  100  2  6  9  10  6  3  9  7  7
8  7  6  4  7  4  10  2  100  5  10  6  9  3  4  10  4
9  8  2  5  5  2  4  6  5  100  8  9  8  5  10  8  8
10  6  8  8  9  6  4  9  10  8  100  8  4  10  3  9  2
11  7  6  7  9  7  7  10  6  9  8  100  7  6  9  10  6
12  10  7  6  7  3  2  6  9  8  4  7  100  5  9  6  4
13  9  8  10  3  4  6  3  3  5  10  6  5  100  2  9  8
14  6  4  3  9  6  9  9  4  10  3  9  9  2  100  10  9
15  5  6  6  5  5  9  7  10  8  9  10  6  9  10  100  7
16  4  9  8  9  5  9  7  4  8  2  6  4  8  9  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  4  100  10  100  100  100  100  100  100  100  100  100  100  100  4
2  4  100  8  100  100  100  6  100  100  100  100  100  100  8  100  100
3  100  8  100  9  100  100  100  2  100  100  100  100  100  100  100  100
4  10  100  9  100  2  100  8  4  100  100  2  100  100  100  100  100
5  100  100  100  2  100  6  100  100  2  100  8  100  100  100  100  6
6  100  100  100  100  6  100  10  100  100  100  2  100  100  100  100  100
7  100  6  100  8  100  10  100  2  2  5  10  7  100  100  3  100
8  100  100  2  4  100  100  2  100  5  4  8  100  3  3  100  8
9  100  100  100  100  2  100  2  5  100  9  100  100  100  100  3  100
10  100  100  100  100  100  100  5  4  9  100  6  100  100  100  100  100
11  100  100  100  2  8  2  10  8  100  6  100  3  100  100  100  100
12  100  100  100  100  100  100  7  100  100  100  3  100  8  100  7  7
13  100  100  100  100  100  100  100  3  100  100  100  8  100  6  8  10
14  100  8  100  100  100  100  100  3  100  100  100  100  6  100  2  100
15  100  100  100  100  100  100  3  100  3  100  100  7  8  2  100  6
16  4  100  100  100  6  100  100  8  100  100  100  7  10  100  6  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  1  1  0  0  0  0  0  1  0
8  .  .  .  .  .  .  .  .  0  1  0  0  1  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  1  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  8
2  4  5
3  4  11
4  5  9
5  6  11
6  7  8
7  7  9
8  14  15
9  7  15
10  8  13
11  11  12
12  1  2
13  1  16
14  8  10
15  2  7
;
