param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  7  8  2  2  8  10  8  6  9  6  2  3  6  6  8
2  7  100  5  7  2  8  2  6  8  3  4  10  9  4  3  8
3  8  5  100  3  5  4  8  3  7  8  4  2  5  2  4  7
4  2  7  3  100  5  9  3  7  6  10  7  2  7  7  9  6
5  2  2  5  5  100  2  10  5  4  10  9  10  7  2  2  9
6  8  8  4  9  2  100  8  2  9  2  4  9  2  5  2  9
7  10  2  8  3  10  8  100  10  6  2  10  6  6  10  8  2
8  8  6  3  7  5  2  10  100  9  5  7  7  2  3  8  7
9  6  8  7  6  4  9  6  9  100  5  8  7  6  5  2  10
10  9  3  8  10  10  2  2  5  5  100  9  2  8  3  5  5
11  6  4  4  7  9  4  10  7  8  9  100  8  10  2  9  2
12  2  10  2  2  10  9  6  7  7  2  8  100  6  4  5  6
13  3  9  5  7  7  2  6  2  6  8  10  6  100  2  5  9
14  6  4  2  7  2  5  10  3  5  3  2  4  2  100  3  10
15  6  3  4  9  2  2  8  8  2  5  9  5  5  3  100  4
16  8  8  7  6  9  9  2  7  10  5  2  6  9  10  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  3  100  100  100  100  100  100  100  100  9  5  4  100  100  8
2  3  100  8  100  100  9  3  7  100  100  8  5  100  5  9  100
3  100  8  100  5  4  100  100  100  7  100  100  100  10  100  100  3
4  100  100  5  100  6  100  6  100  100  100  3  100  10  100  100  6
5  100  100  4  6  100  9  100  100  2  9  100  100  100  100  100  100
6  100  9  100  100  9  100  10  100  100  100  100  100  10  100  100  100
7  100  3  100  6  100  10  100  5  100  10  10  100  100  100  100  100
8  100  7  100  100  100  100  5  100  7  4  100  100  7  100  100  100
9  100  100  7  100  2  100  100  7  100  10  100  100  100  100  100  100
10  100  100  100  100  9  100  10  4  10  100  8  100  100  100  9  100
11  9  8  100  3  100  100  10  100  100  8  100  10  100  100  100  100
12  5  5  100  100  100  100  100  100  100  100  10  100  6  100  100  100
13  4  100  10  10  100  10  100  7  100  100  100  6  100  4  8  100
14  100  5  100  100  100  100  100  100  100  100  100  100  4  100  6  100
15  100  9  100  100  100  100  100  100  100  9  100  100  8  6  100  9
16  8  100  3  6  100  100  100  100  100  100  100  100  100  100  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0
2  .  .  0  0  0  1  1  0  0  0  0  0  0  0  0  0
3  .  .  .  1  1  0  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  0  0  1  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0
2  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0
3  .  .  .  0  1  0  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  5  9
2  1  2
3  2  7
4  3  16
5  4  11
6  1  13
7  3  5
8  8  10
9  13  14
10  1  12
11  3  4
12  7  8
13  4  7
14  14  15
15  2  6
;
