param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  6  7  7  9  7  2  9  10  9  5  9  7  2  7  8
2  6  100  3  4  2  5  9  7  3  10  5  10  7  3  9  10
3  7  3  100  2  9  7  7  5  7  9  10  3  9  8  7  5
4  7  4  2  100  3  6  4  8  9  7  3  8  3  3  9  7
5  9  2  9  3  100  8  2  6  7  4  10  3  3  10  9  3
6  7  5  7  6  8  100  10  7  9  3  4  2  2  8  10  2
7  2  9  7  4  2  10  100  5  7  10  3  6  4  10  5  7
8  9  7  5  8  6  7  5  100  8  6  8  3  2  8  3  6
9  10  3  7  9  7  9  7  8  100  3  7  4  3  3  10  9
10  9  10  9  7  4  3  10  6  3  100  10  2  9  10  2  5
11  5  5  10  3  10  4  3  8  7  10  100  6  3  2  2  6
12  9  10  3  8  3  2  6  3  4  2  6  100  6  6  10  6
13  7  7  9  3  3  2  4  2  3  9  3  6  100  3  8  2
14  2  3  8  3  10  8  10  8  3  10  2  6  3  100  5  8
15  7  9  7  9  9  10  5  3  10  2  2  10  8  5  100  4
16  8  10  5  7  3  2  7  6  9  5  6  6  2  8  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  5  100  100  100  8  100  100  100  100  100  100  3  100  3  2
2  5  100  4  6  9  100  4  100  4  7  100  100  100  100  100  100
3  100  4  100  9  100  10  100  100  100  100  100  100  100  100  100  100
4  100  6  9  100  9  100  100  2  100  100  100  100  100  100  100  100
5  100  9  100  9  100  2  100  100  100  100  100  100  5  100  100  100
6  8  100  10  100  2  100  8  100  100  100  100  100  100  100  100  3
7  100  4  100  100  100  8  100  7  7  100  4  100  100  7  3  100
8  100  100  100  2  100  100  7  100  9  100  100  100  100  100  10  100
9  100  4  100  100  100  100  7  9  100  9  100  100  100  100  100  100
10  100  7  100  100  100  100  100  100  9  100  3  100  100  100  100  100
11  100  100  100  100  100  100  4  100  100  3  100  8  100  100  100  100
12  100  100  100  100  100  100  100  100  100  100  8  100  4  100  100  8
13  3  100  100  100  5  100  100  100  100  100  100  4  100  3  100  100
14  100  100  100  100  100  100  7  100  100  100  100  100  3  100  4  100
15  3  100  100  100  100  100  3  10  100  100  100  100  100  4  100  8
16  2  100  100  100  100  3  100  100  100  100  100  8  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  1  0  1  1
2  .  .  1  1  0  0  1  0  1  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1
7  .  .  .  .  .  .  .  0  0  0  1  0  0  0  1  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  1  0  1  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  1  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  16
2  4  8
3  5  6
4  1  13
5  1  15
6  6  16
7  7  15
8  10  11
9  13  14
10  2  3
11  2  7
12  2  9
13  7  11
14  12  13
15  2  4
;
