param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  7  7  2  8  5  9  4  8  7  7  6  10  9  7  7
2  7  100  5  9  4  9  8  10  7  3  4  4  6  3  6  8
3  7  5  100  2  6  4  10  5  9  9  9  2  2  3  4  7
4  2  9  2  100  7  5  10  4  5  9  7  4  10  4  4  4
5  8  4  6  7  100  7  3  3  4  3  10  6  4  5  2  2
6  5  9  4  5  7  100  2  9  3  3  2  8  6  8  2  2
7  9  8  10  10  3  2  100  7  6  6  8  4  7  3  10  2
8  4  10  5  4  3  9  7  100  6  9  6  6  2  4  6  9
9  8  7  9  5  4  3  6  6  100  4  8  7  10  3  8  10
10  7  3  9  9  3  3  6  9  4  100  2  2  8  5  4  5
11  7  4  9  7  10  2  8  6  8  2  100  7  7  6  7  2
12  6  4  2  4  6  8  4  6  7  2  7  100  7  6  4  3
13  10  6  2  10  4  6  7  2  10  8  7  7  100  9  10  9
14  9  3  3  4  5  8  3  4  3  5  6  6  9  100  4  2
15  7  6  4  4  2  2  10  6  8  4  7  4  10  4  100  7
16  7  8  7  4  2  2  2  9  10  5  2  3  9  2  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  10  100  100  100  8  100  100  100  100  100  100  100  100  100  3
2  10  100  3  4  100  100  100  100  100  100  100  100  100  100  100  100
3  100  3  100  10  100  100  100  100  100  100  100  100  100  100  100  100
4  100  4  10  100  5  100  100  10  100  100  2  9  100  100  100  100
5  100  100  100  5  100  8  100  10  100  100  100  100  100  100  100  100
6  8  100  100  100  8  100  6  100  100  100  100  9  100  100  10  100
7  100  100  100  100  100  6  100  8  100  100  100  100  100  100  100  100
8  100  100  100  10  10  100  8  100  7  100  100  100  100  100  100  5
9  100  100  100  100  100  100  100  7  100  10  100  7  100  100  100  100
10  100  100  100  100  100  100  100  100  10  100  2  100  100  100  100  100
11  100  100  100  2  100  100  100  100  100  2  100  5  5  100  100  10
12  100  100  100  9  100  9  100  100  7  100  5  100  4  100  2  100
13  100  100  100  100  100  100  100  100  100  100  5  4  100  4  100  100
14  100  100  100  100  100  100  100  100  100  100  100  100  4  100  7  9
15  100  100  100  100  100  10  100  100  100  100  100  2  100  7  100  5
16  3  100  100  100  100  100  100  5  100  100  10  100  100  9  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1
2  .  .  1  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  1
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  1  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  1  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  4  11
2  10  11
3  12  15
4  1  16
5  2  3
6  2  4
7  12  13
8  13  14
9  4  5
10  8  16
11  11  12
12  15  16
13  6  7
14  8  9
15  1  6
;
