param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  6  2  6  3  6  10  3  7  7  4  6  8  5  3  6
2  6  100  8  9  8  10  7  8  7  2  9  9  4  10  9  3
3  2  8  100  3  8  10  7  7  6  3  2  10  4  2  9  9
4  6  9  3  100  10  2  10  6  5  5  9  5  6  10  9  4
5  3  8  8  10  100  3  8  3  6  8  6  2  2  3  4  4
6  6  10  10  2  3  100  4  3  6  6  5  7  7  7  9  9
7  10  7  7  10  8  4  100  3  10  7  9  4  5  7  7  10
8  3  8  7  6  3  3  3  100  7  2  3  3  4  5  4  6
9  7  7  6  5  6  6  10  7  100  9  10  5  6  10  4  5
10  7  2  3  5  8  6  7  2  9  100  5  4  5  7  4  3
11  4  9  2  9  6  5  9  3  10  5  100  6  9  6  3  4
12  6  9  10  5  2  7  4  3  5  4  6  100  10  5  10  8
13  8  4  4  6  2  7  5  4  6  5  9  10  100  8  6  5
14  5  10  2  10  3  7  7  5  10  7  6  5  8  100  9  3
15  3  9  9  9  4  9  7  4  4  4  3  10  6  9  100  7
16  6  3  9  4  4  9  10  6  5  3  4  8  5  3  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  10  100  100  100  100  100  100  100  100  100  7  100  100  100  9
2  10  100  5  100  7  100  100  6  6  100  10  100  100  100  100  100
3  100  5  100  3  100  100  100  6  100  10  100  100  100  100  100  100
4  100  100  3  100  5  100  2  100  100  100  4  100  3  100  100  7
5  100  7  100  5  100  7  100  100  100  100  6  100  100  100  100  10
6  100  100  100  100  7  100  7  100  100  100  100  100  100  100  3  100
7  100  100  100  2  100  7  100  2  100  100  100  7  100  100  100  100
8  100  6  6  100  100  100  2  100  9  100  100  100  100  100  100  10
9  100  6  100  100  100  100  100  9  100  2  100  100  100  100  100  100
10  100  100  10  100  100  100  100  100  2  100  5  2  7  3  100  100
11  100  10  100  4  6  100  100  100  100  5  100  5  100  100  100  100
12  7  100  100  100  100  100  7  100  100  2  5  100  7  100  100  100
13  100  100  100  3  100  100  100  100  100  7  100  7  100  8  100  100
14  100  100  100  100  100  100  100  100  100  3  100  100  8  100  9  100
15  100  100  100  100  100  3  100  100  100  100  100  100  100  9  100  6
16  9  100  100  7  10  100  100  10  100  100  100  100  100  100  6  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
2  .  .  1  0  0  0  0  0  1  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  1  0  0  0  1  0  1  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  1  0  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  1  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  4  7
2  7  8
3  9  10
4  10  12
5  3  4
6  4  13
7  6  15
8  10  14
9  4  11
10  2  3
11  4  5
12  10  11
13  2  9
14  15  16
15  1  12
;
