param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  8  6  6  9  10  10  4  4  8  5  4  4  10  4  2
2  8  100  6  3  5  9  3  2  3  10  5  7  6  2  10  10
3  6  6  100  8  8  9  3  8  5  2  9  8  6  6  2  5
4  6  3  8  100  8  9  3  3  2  8  7  10  4  4  4  5
5  9  5  8  8  100  7  8  3  5  3  5  7  9  4  7  6
6  10  9  9  9  7  100  9  4  4  8  7  4  9  8  10  9
7  10  3  3  3  8  9  100  2  10  8  3  2  4  8  2  7
8  4  2  8  3  3  4  2  100  3  9  7  3  2  7  5  6
9  4  3  5  2  5  4  10  3  100  8  5  3  8  3  3  10
10  8  10  2  8  3  8  8  9  8  100  3  9  3  2  7  9
11  5  5  9  7  5  7  3  7  5  3  100  5  9  10  8  9
12  4  7  8  10  7  4  2  3  3  9  5  100  9  3  7  7
13  4  6  6  4  9  9  4  2  8  3  9  9  100  3  8  10
14  10  2  6  4  4  8  8  7  3  2  10  3  3  100  7  2
15  4  10  2  4  7  10  2  5  3  7  8  7  8  7  100  6
16  2  10  5  5  6  9  7  6  10  9  9  7  10  2  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  7  100  100  100  100  100  7  100  100  10  100  100  100  100  4
2  7  100  7  100  100  100  100  100  100  100  100  7  8  100  100  100
3  100  7  100  2  100  100  100  9  4  100  100  100  100  9  100  100
4  100  100  2  100  5  100  100  100  100  100  100  100  100  100  100  100
5  100  100  100  5  100  3  100  100  2  100  100  100  100  100  100  100
6  100  100  100  100  3  100  6  100  100  100  100  100  100  100  100  100
7  100  100  100  100  100  6  100  4  100  100  100  100  100  100  100  100
8  7  100  9  100  100  100  4  100  8  6  100  9  8  100  100  100
9  100  100  4  100  2  100  100  8  100  2  100  100  100  100  100  100
10  100  100  100  100  100  100  100  6  2  100  7  5  2  100  100  100
11  10  100  100  100  100  100  100  100  100  7  100  4  4  100  100  100
12  100  7  100  100  100  100  100  9  100  5  4  100  8  100  100  4
13  100  8  100  100  100  100  100  8  100  2  4  8  100  6  100  6
14  100  100  9  100  100  100  100  100  100  100  100  100  6  100  2  100
15  100  100  100  100  100  100  100  100  100  100  100  100  100  2  100  4
16  4  100  100  100  100  100  100  100  100  100  100  4  6  100  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  1  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  1  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  4
2  5  9
3  9  10
4  10  13
5  14  15
6  5  6
7  1  16
8  3  9
9  7  8
10  11  12
11  11  13
12  12  16
13  15  16
14  6  7
15  1  2
;
