param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  8  3  7  2  6  5  2  3  5  10  3  9  9  2  2
2  8  100  8  10  9  3  4  6  3  4  8  5  9  8  3  4
3  3  8  100  7  10  6  5  5  10  2  10  4  5  2  10  2
4  7  10  7  100  3  4  10  10  3  8  4  3  4  2  10  10
5  2  9  10  3  100  6  4  3  5  6  4  7  4  2  6  6
6  6  3  6  4  6  100  9  4  2  10  9  10  6  6  10  6
7  5  4  5  10  4  9  100  10  5  2  4  10  5  7  6  7
8  2  6  5  10  3  4  10  100  4  10  10  10  9  5  6  8
9  3  3  10  3  5  2  5  4  100  2  10  8  5  4  9  8
10  5  4  2  8  6  10  2  10  2  100  6  10  6  6  10  9
11  10  8  10  4  4  9  4  10  10  6  100  2  6  8  4  9
12  3  5  4  3  7  10  10  10  8  10  2  100  10  8  10  6
13  9  9  5  4  4  6  5  9  5  6  6  10  100  2  2  3
14  9  8  2  2  2  6  7  5  4  6  8  8  2  100  10  2
15  2  3  10  10  6  10  6  6  9  10  4  10  2  10  100  8
16  2  4  2  10  6  6  7  8  8  9  9  6  3  2  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  6  10  100  100  100  100  100  100  100  100  100  100  100  100  9
2  6  100  7  100  100  100  100  2  100  100  100  100  100  100  100  100
3  10  7  100  10  100  100  7  100  100  100  8  100  100  100  100  100
4  100  100  10  100  10  100  9  100  100  100  100  100  100  100  2  3
5  100  100  100  10  100  4  100  7  8  100  9  100  100  100  4  100
6  100  100  100  100  4  100  4  100  100  100  100  100  7  100  100  100
7  100  100  7  9  100  4  100  10  100  100  100  8  100  100  100  100
8  100  2  100  100  7  100  10  100  9  4  100  2  100  100  10  100
9  100  100  100  100  8  100  100  9  100  4  100  100  10  100  8  100
10  100  100  100  100  100  100  100  4  4  100  6  100  100  100  100  100
11  100  100  8  100  9  100  100  100  100  6  100  7  100  100  100  6
12  100  100  100  100  100  100  8  2  100  100  7  100  3  9  100  100
13  100  100  100  100  100  7  100  100  10  100  100  3  100  5  100  100
14  100  100  100  100  100  100  100  100  100  100  100  9  5  100  3  100
15  100  100  100  2  4  100  100  10  8  100  100  100  100  3  100  3
16  9  100  100  3  100  100  100  100  100  100  6  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1  1
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  1  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1  1
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  8
2  4  15
3  8  12
4  4  16
5  12  13
6  14  15
7  5  6
8  5  15
9  6  7
10  8  10
11  9  10
12  13  14
13  1  2
14  10  11
15  2  3
;
