param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  3  8  9  7  4  2  9  5  4  2  5  5  5  6  4
2  3  100  6  5  4  3  7  3  5  10  4  2  5  9  10  10
3  8  6  100  6  8  7  7  4  9  8  6  5  2  10  7  8
4  9  5  6  100  9  3  5  10  7  3  3  5  6  6  9  8
5  7  4  8  9  100  5  9  5  3  9  7  4  10  6  10  2
6  4  3  7  3  5  100  8  3  6  5  8  10  3  2  6  10
7  2  7  7  5  9  8  100  8  4  8  3  8  7  10  2  9
8  9  3  4  10  5  3  8  100  3  9  2  3  7  9  10  4
9  5  5  9  7  3  6  4  3  100  3  5  7  8  5  2  5
10  4  10  8  3  9  5  8  9  3  100  10  3  4  10  7  8
11  2  4  6  3  7  8  3  2  5  10  100  7  8  10  9  6
12  5  2  5  5  4  10  8  3  7  3  7  100  4  2  5  8
13  5  5  2  6  10  3  7  7  8  4  8  4  100  5  2  4
14  5  9  10  6  6  2  10  9  5  10  10  2  5  100  8  7
15  6  10  7  9  10  6  2  10  2  7  9  5  2  8  100  7
16  4  10  8  8  2  10  9  4  5  8  6  8  4  7  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  2  100  100  100  3  100  9  100  100  100  100  10  100  100  3
2  2  100  8  100  100  100  100  100  5  100  100  100  100  100  2  100
3  100  8  100  7  3  100  100  100  100  100  100  4  100  100  100  100
4  100  100  7  100  7  100  100  100  5  100  100  8  100  8  100  100
5  100  100  3  7  100  6  100  100  9  6  100  100  100  7  100  100
6  3  100  100  100  6  100  6  100  8  100  100  100  100  8  100  100
7  100  100  100  100  100  6  100  6  100  100  100  100  5  7  100  5
8  9  100  100  100  100  100  6  100  5  100  100  9  7  100  6  100
9  100  5  100  5  9  8  100  5  100  8  8  100  100  4  100  100
10  100  100  100  100  6  100  100  100  8  100  4  100  100  100  100  6
11  100  100  100  100  100  100  100  100  8  4  100  5  100  100  9  100
12  100  100  4  8  100  100  100  9  100  100  5  100  8  100  100  100
13  10  100  100  100  100  100  5  7  100  100  100  8  100  10  4  100
14  100  100  100  8  7  8  7  100  4  100  100  100  10  100  9  100
15  100  2  100  100  100  100  100  6  100  100  9  100  4  9  100  4
16  3  100  100  100  100  100  5  100  100  6  100  100  100  100  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  1  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  1  0  0  0  0  0  1  0
3  .  .  .  0  1  0  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  0  0  0  1  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  1  0
3  .  .  .  0  1  0  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  2  15
3  1  6
4  1  16
5  3  5
6  3  12
7  9  14
8  10  11
9  13  15
10  2  9
11  4  9
12  7  13
13  8  9
14  11  12
15  5  6
;
