param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  3  2  7  7  5  10  3  2  8  5  7  10  2  9  10  3  2
2  3  100  5  6  8  7  10  6  7  10  7  6  3  9  7  3  9  4
3  2  5  100  2  8  10  2  6  3  10  7  7  5  4  8  9  10  2
4  7  6  2  100  4  9  5  8  9  7  5  5  9  2  9  10  10  5
5  7  8  8  4  100  9  9  9  2  10  8  5  9  9  4  3  2  7
6  5  7  10  9  9  100  4  5  6  6  8  8  6  2  5  4  6  6
7  10  10  2  5  9  4  100  9  4  6  8  6  5  5  4  5  10  6
8  3  6  6  8  9  5  9  100  4  2  10  9  8  2  4  10  7  10
9  2  7  3  9  2  6  4  4  100  4  9  8  10  10  9  2  2  3
10  8  10  10  7  10  6  6  2  4  100  9  8  10  10  3  10  10  7
11  5  7  7  5  8  8  8  10  9  9  100  5  9  3  4  3  8  6
12  7  6  7  5  5  8  6  9  8  8  5  100  9  2  7  8  4  8
13  10  3  5  9  9  6  5  8  10  10  9  9  100  6  6  10  10  3
14  2  9  4  2  9  2  5  2  10  10  3  2  6  100  9  3  7  5
15  9  7  8  9  4  5  4  4  9  3  4  7  6  9  100  3  8  3
16  10  3  9  10  3  4  5  10  2  10  3  8  10  3  3  100  9  10
17  3  9  10  10  2  6  10  7  2  10  8  4  10  7  8  9  100  2
18  2  4  2  5  7  6  6  10  3  7  6  8  3  5  3  10  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  6  8  100  100  100  5  10  100  100  100  100  100  7  6  10  100  3
2  6  100  2  100  100  9  100  6  100  100  100  100  7  8  100  7  100  100
3  8  2  100  2  100  100  100  100  100  100  7  100  100  100  5  100  100  100
4  100  100  2  100  4  100  100  100  100  100  100  100  100  100  100  100  100  100
5  100  100  100  4  100  8  100  100  100  100  2  100  100  100  7  100  100  100
6  100  9  100  100  8  100  7  100  100  4  100  100  100  100  100  100  100  8
7  5  100  100  100  100  7  100  8  100  100  10  100  100  100  6  4  100  4
8  10  6  100  100  100  100  8  100  2  100  100  100  100  100  3  4  6  100
9  100  100  100  100  100  100  100  2  100  8  100  100  8  3  100  100  100  100
10  100  100  100  100  100  4  100  100  8  100  9  100  100  100  2  100  100  100
11  100  100  7  100  2  100  10  100  100  9  100  7  100  100  100  6  100  100
12  100  100  100  100  100  100  100  100  100  100  7  100  6  100  100  8  2  100
13  100  7  100  100  100  100  100  100  8  100  100  6  100  2  100  2  100  100
14  7  8  100  100  100  100  100  100  3  100  100  100  2  100  6  100  4  100
15  6  100  5  100  7  100  6  3  100  2  100  100  100  6  100  7  8  100
16  10  7  100  100  100  100  4  4  100  100  6  8  2  100  7  100  7  9
17  100  100  100  100  100  100  100  6  100  100  100  2  100  4  8  7  100  4
18  3  100  100  100  100  8  4  100  100  100  100  100  100  100  100  9  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1  0  1
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  1  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  1  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
