param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  5  10  9  7  9  4  5  6  9  7  4  9  5  3  3  2  9
2  5  100  8  3  7  7  2  4  7  5  5  2  2  5  2  9  2  9
3  10  8  100  8  3  3  6  2  2  6  8  3  9  3  7  7  5  4
4  9  3  8  100  8  2  5  9  8  6  7  10  10  4  8  2  2  4
5  7  7  3  8  100  6  8  3  4  7  7  6  3  6  5  10  6  7
6  9  7  3  2  6  100  10  2  2  8  8  7  3  4  7  9  7  5
7  4  2  6  5  8  10  100  2  4  10  6  2  10  4  3  8  9  3
8  5  4  2  9  3  2  2  100  5  3  7  5  7  2  7  4  7  2
9  6  7  2  8  4  2  4  5  100  8  8  9  8  3  7  8  2  5
10  9  5  6  6  7  8  10  3  8  100  2  6  6  3  10  4  6  5
11  7  5  8  7  7  8  6  7  8  2  100  3  3  3  2  7  4  6
12  4  2  3  10  6  7  2  5  9  6  3  100  4  2  10  7  6  8
13  9  2  9  10  3  3  10  7  8  6  3  4  100  8  7  3  3  2
14  5  5  3  4  6  4  4  2  3  3  3  2  8  100  2  5  5  3
15  3  2  7  8  5  7  3  7  7  10  2  10  7  2  100  9  3  9
16  3  9  7  2  10  9  8  4  8  4  7  7  3  5  9  100  5  7
17  2  2  5  2  6  7  9  7  2  6  4  6  3  5  3  5  100  9
18  9  9  4  4  7  5  3  2  5  5  6  8  2  3  9  7  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  8  100  8  100  5  100  100  4  3  100  100  100  100  100  100  100  2
2  8  100  5  100  100  100  100  100  100  8  100  100  100  100  7  100  100  100
3  100  5  100  10  100  100  100  5  3  100  6  7  7  100  100  100  100  100
4  8  100  10  100  4  100  100  100  100  100  100  100  100  6  100  100  100  100
5  100  100  100  4  100  10  100  100  100  100  100  100  100  100  100  100  100  100
6  5  100  100  100  10  100  9  10  100  100  100  2  7  100  100  100  100  8
7  100  100  100  100  100  9  100  8  100  100  100  6  4  100  100  100  100  100
8  100  100  5  100  100  10  8  100  9  100  100  9  100  100  100  6  2  4
9  4  100  3  100  100  100  100  9  100  10  100  100  100  100  100  100  100  100
10  3  8  100  100  100  100  100  100  10  100  6  7  100  7  100  100  100  100
11  100  100  6  100  100  100  100  100  100  6  100  7  100  100  10  100  100  4
12  100  100  7  100  100  2  6  9  100  7  7  100  4  5  100  8  100  100
13  100  100  7  100  100  7  4  100  100  100  100  4  100  9  100  100  100  100
14  100  100  100  6  100  100  100  100  100  7  100  5  9  100  9  100  100  7
15  100  7  100  100  100  100  100  100  100  100  10  100  100  9  100  2  100  100
16  100  100  100  100  100  100  100  6  100  100  100  8  100  100  2  100  10  100
17  100  100  100  100  100  100  100  2  100  100  100  100  100  100  100  10  100  5
18  2  100  100  100  100  8  100  4  100  100  4  100  100  7  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  1  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  1  1  1
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  1
12  .  .  .  .  .  .  .  .  .  .  .  .  1  1  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  18
2  6  12
3  8  17
4  15  16
5  1  10
6  3  9
7  1  9
8  4  5
9  7  13
10  8  18
11  11  18
12  12  13
13  1  6
14  2  3
15  12  14
16  4  14
17  8  16
;
