param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  3  7  8  3  4  4  6  6  2  4  8  10  2  4  4  2  7
2  3  100  6  7  3  4  2  2  5  4  9  6  6  5  9  7  9  2
3  7  6  100  3  10  4  9  3  7  3  10  9  6  9  7  4  2  9
4  8  7  3  100  7  8  4  5  9  10  5  7  7  9  6  3  5  5
5  3  3  10  7  100  7  9  8  10  10  4  6  10  7  8  6  6  7
6  4  4  4  8  7  100  4  4  9  10  9  8  8  10  2  10  8  8
7  4  2  9  4  9  4  100  5  6  5  6  3  2  4  4  9  7  2
8  6  2  3  5  8  4  5  100  8  6  6  7  10  9  6  4  3  7
9  6  5  7  9  10  9  6  8  100  8  7  8  3  9  5  6  9  9
10  2  4  3  10  10  10  5  6  8  100  7  8  2  10  9  2  10  4
11  4  9  10  5  4  9  6  6  7  7  100  5  8  3  9  10  5  8
12  8  6  9  7  6  8  3  7  8  8  5  100  3  5  10  2  8  6
13  10  6  6  7  10  8  2  10  3  2  8  3  100  6  5  10  5  9
14  2  5  9  9  7  10  4  9  9  10  3  5  6  100  4  9  6  4
15  4  9  7  6  8  2  4  6  5  9  9  10  5  4  100  8  6  6
16  4  7  4  3  6  10  9  4  6  2  10  2  10  9  8  100  10  5
17  2  9  2  5  6  8  7  3  9  10  5  8  5  6  6  10  100  8
18  7  2  9  5  7  8  2  7  9  4  8  6  9  4  6  5  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  4  100  100  9  10  100  100  100  100  9  100  5  4  100  100  100  7
2  4  100  7  100  100  100  100  100  100  100  10  100  100  100  100  5  100  100
3  100  7  100  10  2  100  100  100  100  100  100  100  100  100  100  10  6  3
4  100  100  10  100  6  100  100  8  2  100  10  100  100  100  100  100  100  7
5  9  100  2  6  100  4  100  100  100  100  100  100  100  100  6  8  9  100
6  10  100  100  100  4  100  7  7  100  100  100  100  100  100  100  6  2  100
7  100  100  100  100  100  7  100  6  100  100  100  100  100  5  100  100  100  100
8  100  100  100  8  100  7  6  100  10  100  100  100  100  100  100  100  100  100
9  100  100  100  2  100  100  100  10  100  8  100  100  100  7  100  100  100  100
10  100  100  100  100  100  100  100  100  8  100  3  100  100  10  100  100  100  100
11  9  10  100  10  100  100  100  100  100  3  100  8  100  100  100  10  100  8
12  100  100  100  100  100  100  100  100  100  100  8  100  6  100  3  3  100  100
13  5  100  100  100  100  100  100  100  100  100  100  6  100  4  100  9  9  100
14  4  100  100  100  100  100  5  100  7  10  100  100  4  100  4  5  100  100
15  100  100  100  100  6  100  100  100  100  100  100  3  100  4  100  3  100  100
16  100  5  10  100  8  6  100  100  100  100  10  3  9  5  3  100  6  100
17  100  100  6  100  9  2  100  100  100  100  100  100  9  100  100  6  100  9
18  7  100  3  7  100  100  100  100  100  100  8  100  100  100  100  100  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1
4  .  .  .  .  1  0  0  0  1  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  1  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  1  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
