param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  6  4  8  6  4  7  6  5  8  8  4  6  8  9  5  3  7
2  6  100  10  10  4  6  10  7  9  6  10  4  10  8  6  7  6  5
3  4  10  100  7  7  8  8  5  7  6  7  4  5  2  8  10  4  9
4  8  10  7  100  7  2  3  3  8  9  5  5  2  8  10  2  3  7
5  6  4  7  7  100  9  4  9  5  2  7  10  7  4  8  10  8  6
6  4  6  8  2  9  100  8  4  6  5  8  8  8  2  10  3  5  10
7  7  10  8  3  4  8  100  7  4  7  9  7  5  4  6  8  9  3
8  6  7  5  3  9  4  7  100  9  10  4  6  5  9  3  3  8  3
9  5  9  7  8  5  6  4  9  100  2  8  6  5  10  7  3  6  10
10  8  6  6  9  2  5  7  10  2  100  6  8  6  10  9  2  7  4
11  8  10  7  5  7  8  9  4  8  6  100  10  8  9  2  9  7  10
12  4  4  4  5  10  8  7  6  6  8  10  100  10  7  2  2  6  5
13  6  10  5  2  7  8  5  5  5  6  8  10  100  7  5  10  6  8
14  8  8  2  8  4  2  4  9  10  10  9  7  7  100  7  4  5  8
15  9  6  8  10  8  10  6  3  7  9  2  2  5  7  100  2  6  2
16  5  7  10  2  10  3  8  3  3  2  9  2  10  4  2  100  9  4
17  3  6  4  3  8  5  9  8  6  7  7  6  6  5  6  9  100  3
18  7  5  9  7  6  10  3  3  10  4  10  5  8  8  2  4  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  9  100  100  100  100  100  9  7  4  100  100  2  100  100  100  100  10
2  9  100  6  100  100  3  100  3  9  100  100  9  100  100  4  100  100  100
3  100  6  100  5  100  100  100  100  100  100  100  100  7  100  8  100  100  100
4  100  100  5  100  5  2  100  100  100  100  100  100  7  100  100  100  100  100
5  100  100  100  5  100  9  100  100  100  100  100  2  9  100  100  100  100  100
6  100  3  100  2  9  100  4  100  100  9  100  100  5  100  7  100  100  3
7  100  100  100  100  100  4  100  10  100  100  100  100  100  100  5  100  100  100
8  9  3  100  100  100  100  10  100  7  100  100  100  100  100  100  100  100  100
9  7  9  100  100  100  100  100  7  100  3  100  6  100  100  4  100  100  100
10  4  100  100  100  100  9  100  100  3  100  4  100  8  100  100  100  100  10
11  100  100  100  100  100  100  100  100  100  4  100  9  100  100  100  100  100  100
12  100  9  100  100  2  100  100  100  6  100  9  100  3  100  100  6  100  100
13  2  100  7  7  9  5  100  100  100  8  100  3  100  10  6  4  100  100
14  100  100  100  100  100  100  100  100  100  100  100  100  10  100  9  100  100  9
15  100  4  8  100  100  7  5  100  4  100  100  100  6  9  100  6  100  100
16  100  100  100  100  100  100  100  100  100  100  100  6  4  100  6  100  5  100
17  100  100  100  100  100  100  100  100  100  100  100  100  100  100  100  5  100  4
18  10  100  100  100  100  3  100  100  100  10  100  100  100  9  100  100  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0
2  .  .  0  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  1  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  1
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  1  0  0  0
