param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  10  3  5  5  10  3  7  5  6  3  9  7  2  5  3  9  4
2  10  100  6  3  10  10  8  10  9  10  6  3  3  3  6  10  7  2
3  3  6  100  4  8  2  4  2  9  10  5  4  5  3  4  3  9  8
4  5  3  4  100  4  5  5  7  8  5  2  6  5  5  6  10  6  3
5  5  10  8  4  100  2  7  10  9  2  7  8  2  10  9  9  10  3
6  10  10  2  5  2  100  7  3  2  4  8  2  9  9  6  6  5  4
7  3  8  4  5  7  7  100  6  7  10  3  2  9  4  8  9  5  10
8  7  10  2  7  10  3  6  100  3  5  5  8  2  8  10  7  2  10
9  5  9  9  8  9  2  7  3  100  6  5  9  4  5  4  8  4  3
10  6  10  10  5  2  4  10  5  6  100  7  5  10  3  6  4  8  7
11  3  6  5  2  7  8  3  5  5  7  100  6  4  10  9  9  9  10
12  9  3  4  6  8  2  2  8  9  5  6  100  6  5  7  9  4  10
13  7  3  5  5  2  9  9  2  4  10  4  6  100  9  6  7  4  8
14  2  3  3  5  10  9  4  8  5  3  10  5  9  100  8  9  8  7
15  5  6  4  6  9  6  8  10  4  6  9  7  6  8  100  2  4  7
16  3  10  3  10  9  6  9  7  8  4  9  9  7  9  2  100  2  9
17  9  7  9  6  10  5  5  2  4  8  9  4  4  8  4  2  100  10
18  4  2  8  3  3  4  10  10  3  7  10  10  8  7  7  9  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  2  100  100  6  100  100  7  100  100  100  100  100  100  10  100  100  3
2  2  100  4  100  100  100  100  100  100  100  100  10  100  10  100  100  100  100
3  100  4  100  2  100  3  100  100  100  6  100  100  100  100  100  3  100  100
4  100  100  2  100  6  2  100  100  100  6  100  9  6  100  100  100  100  100
5  6  100  100  6  100  3  100  100  100  100  100  100  2  100  100  6  100  100
6  100  100  3  2  3  100  10  100  100  100  100  100  5  100  100  100  5  3
7  100  100  100  100  100  10  100  8  2  3  100  100  100  100  100  100  100  100
8  7  100  100  100  100  100  8  100  4  9  100  100  100  100  100  100  100  9
9  100  100  100  100  100  100  2  4  100  9  100  100  100  100  100  3  6  100
10  100  100  6  6  100  100  3  9  9  100  4  7  100  100  100  100  100  100
11  100  100  100  100  100  100  100  100  100  4  100  8  100  100  100  100  100  100
12  100  10  100  9  100  100  100  100  100  7  8  100  8  100  9  100  100  100
13  100  100  100  6  2  5  100  100  100  100  100  8  100  7  100  100  100  100
14  100  10  100  100  100  100  100  100  100  100  100  100  7  100  9  100  100  3
15  10  100  100  100  100  100  100  100  100  100  100  9  100  9  100  9  100  10
16  100  100  3  100  6  100  100  100  3  100  100  100  100  100  9  100  5  9
17  100  100  100  100  100  5  100  100  6  100  100  100  100  100  100  5  100  9
18  3  100  100  100  100  3  100  9  100  100  100  100  100  3  10  9  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0
4  .  .  .  .  0  1  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1  1
7  .  .  .  .  .  .  .  0  1  1  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
10  .  .  .  .  .  .  .  .  .  .  1  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0
4  .  .  .  .  0  1  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  3  4
3  4  6
4  5  13
5  7  9
6  1  18
7  3  16
8  5  6
9  6  18
10  7  10
11  9  16
12  14  18
13  8  9
14  10  11
15  6  17
16  10  12
17  12  15
;
