param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  7  9  2  6  3  8  4  8  5  6  5  7  10  6  10  6  4
2  7  100  4  8  8  3  9  8  4  5  2  2  8  3  4  10  6  10
3  9  4  100  10  3  7  4  2  2  7  2  3  6  4  9  5  8  7
4  2  8  10  100  4  6  3  8  9  9  10  10  9  4  6  5  8  5
5  6  8  3  4  100  5  3  10  8  9  5  5  4  6  9  2  9  5
6  3  3  7  6  5  100  2  5  2  3  3  6  3  5  4  7  6  8
7  8  9  4  3  3  2  100  10  3  5  9  7  6  7  7  7  3  8
8  4  8  2  8  10  5  10  100  5  2  9  8  7  5  3  8  6  3
9  8  4  2  9  8  2  3  5  100  9  7  8  3  10  7  7  10  5
10  5  5  7  9  9  3  5  2  9  100  7  5  10  3  6  8  10  2
11  6  2  2  10  5  3  9  9  7  7  100  5  9  8  10  9  10  2
12  5  2  3  10  5  6  7  8  8  5  5  100  3  9  4  8  4  8
13  7  8  6  9  4  3  6  7  3  10  9  3  100  9  6  4  8  8
14  10  3  4  4  6  5  7  5  10  3  8  9  9  100  6  9  10  4
15  6  4  9  6  9  4  7  3  7  6  10  4  6  6  100  6  4  2
16  10  10  5  5  2  7  7  8  7  8  9  8  4  9  6  100  9  2
17  6  6  8  8  9  6  3  6  10  10  10  4  8  10  4  9  100  5
18  4  10  7  5  5  8  8  3  5  2  2  8  8  4  2  2  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  2  100  100  100  100  100  100  100  100  8  100  100  100  100  10  7  3
2  2  100  5  100  2  100  100  100  100  100  4  7  100  100  100  100  100  100
3  100  5  100  8  100  100  100  100  100  100  100  100  100  100  100  100  100  100
4  100  100  8  100  4  7  100  100  7  100  4  100  100  100  100  100  6  100
5  100  2  100  4  100  2  100  100  100  3  100  100  100  4  100  100  100  100
6  100  100  100  7  2  100  2  100  100  100  100  6  100  3  100  100  100  100
7  100  100  100  100  100  2  100  9  7  100  100  100  100  100  100  100  100  100
8  100  100  100  100  100  100  9  100  8  100  9  100  100  100  100  9  100  100
9  100  100  100  7  100  100  7  8  100  10  100  4  100  100  100  100  100  4
10  100  100  100  100  3  100  100  100  10  100  10  4  100  2  100  100  100  5
11  8  4  100  4  100  100  100  9  100  10  100  6  100  100  100  100  100  100
12  100  7  100  100  100  6  100  100  4  4  6  100  2  100  100  100  100  100
13  100  100  100  100  100  100  100  100  100  100  100  2  100  2  100  100  5  100
14  100  100  100  100  4  3  100  100  100  2  100  100  2  100  5  100  100  100
15  100  100  100  100  100  100  100  100  100  100  100  100  100  5  100  9  100  2
16  10  100  100  100  100  100  100  9  100  100  100  100  100  100  9  100  9  100
17  7  100  100  6  100  100  100  100  100  100  100  100  5  100  100  9  100  6
18  3  100  100  100  100  100  100  100  4  5  100  100  100  100  2  100  6  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  1  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  1  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
