param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  6  3  10  10  9  2  2  2  4  9  10  6  10  5  8  9  2
2  6  100  7  7  8  3  4  6  10  4  9  10  10  9  3  9  10  2
3  3  7  100  4  10  6  2  6  9  3  5  2  4  5  4  7  5  4
4  10  7  4  100  6  7  10  8  7  9  7  10  3  9  9  5  8  10
5  10  8  10  6  100  8  8  2  3  3  5  7  3  7  8  3  6  4
6  9  3  6  7  8  100  6  8  2  2  4  5  6  5  9  3  6  5
7  2  4  2  10  8  6  100  9  2  6  7  2  5  7  4  7  6  6
8  2  6  6  8  2  8  9  100  10  9  5  5  7  5  6  4  2  3
9  2  10  9  7  3  2  2  10  100  7  6  3  10  9  5  2  7  8
10  4  4  3  9  3  2  6  9  7  100  5  2  4  8  10  4  7  9
11  9  9  5  7  5  4  7  5  6  5  100  7  6  7  7  8  7  2
12  10  10  2  10  7  5  2  5  3  2  7  100  10  10  9  2  5  6
13  6  10  4  3  3  6  5  7  10  4  6  10  100  2  2  10  6  2
14  10  9  5  9  7  5  7  5  9  8  7  10  2  100  2  4  10  2
15  5  3  4  9  8  9  4  6  5  10  7  9  2  2  100  7  7  3
16  8  9  7  5  3  3  7  4  2  4  8  2  10  4  7  100  10  8
17  9  10  5  8  6  6  6  2  7  7  7  5  6  10  7  10  100  9
18  2  2  4  10  4  5  6  3  8  9  2  6  2  2  3  8  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  5  10  100  100  100  100  100  100  100  100  6  100  100  100  100  100  10
2  5  100  10  10  7  100  100  7  100  100  100  100  100  9  100  9  100  100
3  10  10  100  4  100  100  100  100  100  100  100  100  7  100  100  5  100  10
4  100  10  4  100  5  100  100  100  4  100  100  100  100  100  4  100  100  100
5  100  7  100  5  100  2  100  100  100  100  100  100  100  100  100  100  100  100
6  100  100  100  100  2  100  9  10  100  5  8  100  100  5  8  100  100  100
7  100  100  100  100  100  9  100  10  100  100  100  100  2  100  6  100  100  10
8  100  7  100  100  100  10  10  100  5  100  100  100  100  100  100  100  5  100
9  100  100  100  4  100  100  100  5  100  8  100  100  100  100  100  100  100  100
10  100  100  100  100  100  5  100  100  8  100  2  100  100  100  100  100  100  100
11  100  100  100  100  100  8  100  100  100  2  100  5  4  100  100  100  100  100
12  6  100  100  100  100  100  100  100  100  100  5  100  3  100  100  100  100  100
13  100  100  7  100  100  100  2  100  100  100  4  3  100  3  100  100  100  100
14  100  9  100  100  100  5  100  100  100  100  100  100  3  100  10  3  100  9
15  100  100  100  4  100  8  6  100  100  100  100  100  100  10  100  6  100  100
16  100  9  5  100  100  100  100  100  100  100  100  100  100  3  6  100  3  100
17  100  100  100  100  100  100  100  5  100  100  100  100  100  100  100  3  100  9
