param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  8  4  4  7  5  5  2  3  8  8  6  9  6  5  7  6  9
2  8  100  3  3  6  4  6  6  8  6  5  2  3  8  8  7  6  6
3  4  3  100  3  3  9  7  3  7  2  9  10  8  10  2  8  3  6
4  4  3  3  100  3  8  8  2  8  10  10  3  4  3  8  3  6  7
5  7  6  3  3  100  10  10  6  6  8  9  8  5  4  7  5  10  10
6  5  4  9  8  10  100  2  6  4  10  8  2  2  3  6  3  10  3
7  5  6  7  8  10  2  100  3  8  6  8  7  6  6  5  5  10  2
8  2  6  3  2  6  6  3  100  5  7  8  8  3  2  8  10  8  2
9  3  8  7  8  6  4  8  5  100  10  9  6  8  3  9  9  6  7
10  8  6  2  10  8  10  6  7  10  100  8  9  6  5  4  9  5  6
11  8  5  9  10  9  8  8  8  9  8  100  5  2  7  8  8  6  3
12  6  2  10  3  8  2  7  8  6  9  5  100  6  10  7  8  2  5
13  9  3  8  4  5  2  6  3  8  6  2  6  100  9  2  8  2  7
14  6  8  10  3  4  3  6  2  3  5  7  10  9  100  4  3  4  9
15  5  8  2  8  7  6  5  8  9  4  8  7  2  4  100  9  2  2
16  7  7  8  3  5  3  5  10  9  9  8  8  8  3  9  100  5  7
17  6  6  3  6  10  10  10  8  6  5  6  2  2  4  2  5  100  4
18  9  6  6  7  10  3  2  2  7  6  3  5  7  9  2  7  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  8  100  5  100  100  100  2  100  100  100  2  100  100  100  100  100  8
2  8  100  9  10  100  100  100  100  100  100  100  2  100  100  8  100  100  100
3  100  9  100  7  100  100  100  100  100  8  4  100  100  100  7  100  100  100
4  5  10  7  100  6  4  8  3  4  8  100  5  100  100  100  100  100  8
5  100  100  100  6  100  6  100  7  100  100  3  100  100  100  100  100  100  100
6  100  100  100  4  6  100  6  100  5  7  100  7  100  100  100  100  7  100
7  100  100  100  8  100  6  100  8  2  100  100  100  100  2  100  8  100  4
8  2  100  100  3  7  100  8  100  2  5  100  100  100  4  100  8  8  100
9  100  100  100  4  100  5  2  2  100  6  100  9  100  100  9  2  100  9
10  100  100  8  8  100  7  100  5  6  100  5  100  100  9  9  100  100  100
11  100  100  4  100  3  100  100  100  100  5  100  7  100  100  5  2  100  100
12  2  2  100  5  100  7  100  100  9  100  7  100  2  7  100  100  100  100
13  100  100  100  100  100  100  100  100  100  100  100  2  100  2  9  100  100  6
14  100  100  100  100  100  100  2  4  100  9  100  7  2  100  10  100  5  2
15  100  8  7  100  100  100  100  100  9  9  5  100  9  10  100  8  100  100
16  100  100  100  100  100  100  8  8  2  100  2  100  100  100  8  100  5  100
17  100  100  100  100  100  7  100  8  100  100  100  100  100  5  100  5  100  2
18  8  100  100  8  100  100  4  100  9  100  100  100  6  2  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
4  .  .  .  .  0  1  0  1  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0  0
