param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  8  6  9  2  2  9  2  3  3  7  2  9  9  3  3  8  5
2  8  100  8  3  5  2  9  9  5  4  4  6  4  3  9  7  2  8
3  6  8  100  2  9  7  2  9  5  3  4  2  7  8  3  7  10  10
4  9  3  2  100  10  7  6  6  4  5  2  10  2  9  10  7  9  4
5  2  5  9  10  100  7  10  9  5  10  4  6  2  6  7  5  8  7
6  2  2  7  7  7  100  10  6  6  6  2  5  3  2  10  7  8  7
7  9  9  2  6  10  10  100  5  7  4  4  7  2  3  6  7  9  10
8  2  9  9  6  9  6  5  100  4  7  8  8  3  4  4  6  2  10
9  3  5  5  4  5  6  7  4  100  3  4  6  9  4  6  9  4  2
10  3  4  3  5  10  6  4  7  3  100  2  8  4  6  8  5  9  4
11  7  4  4  2  4  2  4  8  4  2  100  7  9  3  8  6  10  5
12  2  6  2  10  6  5  7  8  6  8  7  100  9  7  9  4  3  9
13  9  4  7  2  2  3  2  3  9  4  9  9  100  9  4  5  9  6
14  9  3  8  9  6  2  3  4  4  6  3  7  9  100  4  8  6  5
15  3  9  3  10  7  10  6  4  6  8  8  9  4  4  100  6  3  6
16  3  7  7  7  5  7  7  6  9  5  6  4  5  8  6  100  3  7
17  8  2  10  9  8  8  9  2  4  9  10  3  9  6  3  3  100  4
18  5  8  10  4  7  7  10  10  2  4  5  9  6  5  6  7  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  4  100  100  100  4  100  100  4  3  100  100  9  100  100  100  7  3
2  4  100  2  100  100  100  100  100  100  100  100  100  100  100  3  100  5  2
3  100  2  100  2  9  5  100  5  100  100  100  100  100  100  100  100  100  100
4  100  100  2  100  8  100  100  100  10  100  100  100  100  100  3  100  100  100
5  100  100  9  8  100  5  100  100  100  100  3  100  100  7  100  100  100  100
6  4  100  5  100  5  100  9  9  100  100  100  100  5  100  100  100  100  4
