param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  4  2  10  3  4  7  8  6  10  9  2  9  8  7  6  10  4
2  4  100  4  4  10  5  4  5  2  7  2  6  4  6  3  6  8  6
3  2  4  100  9  4  9  8  6  3  8  9  7  9  3  2  2  8  3
4  10  4  9  100  6  9  6  5  5  10  7  2  2  7  6  5  3  5
5  3  10  4  6  100  2  6  7  4  7  7  4  7  6  2  3  4  8
6  4  5  9  9  2  100  8  4  7  2  2  7  7  6  4  4  7  4
7  7  4  8  6  6  8  100  9  10  3  2  4  4  9  2  2  6  6
8  8  5  6  5  7  4  9  100  6  2  8  4  9  8  4  10  8  4
9  6  2  3  5  4  7  10  6  100  8  4  8  4  8  10  7  3  8
10  10  7  8  10  7  2  3  2  8  100  6  9  5  3  2  6  5  2
11  9  2  9  7  7  2  2  8  4  6  100  9  5  5  4  8  4  6
12  2  6  7  2  4  7  4  4  8  9  9  100  4  9  3  6  3  3
13  9  4  9  2  7  7  4  9  4  5  5  4  100  8  5  9  6  9
14  8  6  3  7  6  6  9  8  8  3  5  9  8  100  2  8  3  10
15  7  3  2  6  2  4  2  4  10  2  4  3  5  2  100  8  2  7
16  6  6  2  5  3  4  2  10  7  6  8  6  9  8  8  100  9  7
17  10  8  8  3  4  7  6  8  3  5  4  3  6  3  2  9  100  9
18  4  6  3  5  8  4  6  4  8  2  6  3  9  10  7  7  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  3  8  100  8  100  100  100  9  100  100  100  100  100  100  100  3  6
2  3  100  4  100  100  5  100  100  100  100  100  100  100  7  100  100  7  100
3  8  4  100  7  100  100  100  100  100  100  100  100  100  100  2  100  100  100
4  100  100  7  100  2  100  100  6  100  100  100  9  100  100  100  100  100  6
5  8  100  100  2  100  5  100  100  100  100  100  100  100  100  6  100  100  100
6  100  5  100  100  5  100  7  100  4  100  100  100  100  100  100  100  100  7
7  100  100  100  100  100  7  100  10  100  5  3  100  100  100  100  100  100  100
8  100  100  100  6  100  100  10  100  3  100  100  100  100  100  100  100  100  100
9  9  100  100  100  100  4  100  3  100  7  100  100  100  6  100  100  100  100
10  100  100  100  100  100  100  5  100  7  100  6  100  100  100  100  100  100  100
11  100  100  100  100  100  100  3  100  100  6  100  10  100  100  100  100  100  100
12  100  100  100  9  100  100  100  100  100  100  10  100  10  100  100  9  100  9
13  100  100  100  100  100  100  100  100  100  100  100  10  100  3  100  100  100  100
14  100  7  100  100  100  100  100  100  6  100  100  100  3  100  7  100  100  5
15  100  100  2  100  6  100  100  100  100  100  100  100  100  7  100  8  6  100
16  100  100  100  100  100  100  100  100  100  100  100  9  100  100  8  100  10  100
17  3  7  100  100  100  100  100  100  100  100  100  100  100  100  6  10  100  2
18  6  100  100  6  100  7  100  100  100  100  100  9  100  5  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0
2  .  .  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  1  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  1  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  1  1  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
