param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  8  8  8  8  3  10  9  7  8  4  5  2  4  5  2  5  9
2  8  100  9  7  10  5  8  9  6  10  7  5  2  4  4  6  4  5
3  8  9  100  7  6  5  3  8  4  6  8  2  6  3  7  6  7  3
4  8  7  7  100  2  8  8  8  2  3  4  2  7  5  4  8  5  9
5  8  10  6  2  100  3  8  10  4  7  5  8  5  7  5  8  5  5
6  3  5  5  8  3  100  10  10  6  2  6  4  2  7  3  7  3  8
7  10  8  3  8  8  10  100  5  2  8  4  8  2  3  6  5  8  4
8  9  9  8  8  10  10  5  100  7  2  2  4  10  4  4  2  5  10
9  7  6  4  2  4  6  2  7  100  6  6  8  4  3  3  2  3  5
10  8  10  6  3  7  2  8  2  6  100  10  2  10  2  7  4  5  10
11  4  7  8  4  5  6  4  2  6  10  100  10  8  4  5  3  10  9
12  5  5  2  2  8  4  8  4  8  2  10  100  10  7  7  4  3  6
13  2  2  6  7  5  2  2  10  4  10  8  10  100  7  6  7  2  7
14  4  4  3  5  7  7  3  4  3  2  4  7  7  100  8  10  8  9
15  5  4  7  4  5  3  6  4  3  7  5  7  6  8  100  5  5  10
16  2  6  6  8  8  7  5  2  2  4  3  4  7  10  5  100  5  7
17  5  4  7  5  5  3  8  5  3  5  10  3  2  8  5  5  100  2
18  9  5  3  9  5  8  4  10  5  10  9  6  7  9  10  7  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  8  100  100  5  100  100  100  100  2  4  100  100  6  100  2  100  6
2  8  100  5  100  100  100  100  100  100  100  9  9  7  8  100  100  6  100
3  100  5  100  3  100  100  100  100  100  100  100  100  100  100  100  100  100  100
4  100  100  3  100  5  100  100  100  100  100  100  100  100  100  100  100  2  100
5  5  100  100  5  100  7  100  100  100  100  100  100  100  100  100  100  100  100
6  100  100  100  100  7  100  10  100  100  100  100  4  100  6  100  6  100  100
7  100  100  100  100  100  10  100  8  100  100  100  100  100  100  100  100  100  100
8  100  100  100  100  100  100  8  100  7  2  100  100  100  100  7  100  100  100
9  100  100  100  100  100  100  100  7  100  7  100  100  100  100  100  3  100  10
10  2  100  100  100  100  100  100  2  7  100  7  4  100  100  100  100  100  10
11  4  9  100  100  100  100  100  100  100  7  100  9  100  5  100  100  100  100
12  100  9  100  100  100  4  100  100  100  4  9  100  4  10  100  100  9  10
13  100  7  100  100  100  100  100  100  100  100  100  4  100  6  100  100  100  100
14  6  8  100  100  100  6  100  100  100  100  5  10  6  100  2  6  100  5
15  100  100  100  100  100  100  100  7  100  100  100  100  100  2  100  4  4  100
16  2  100  100  100  100  6  100  100  3  100  100  100  100  6  4  100  10  100
17  100  6  100  2  100  100  100  100  100  100  100  9  100  100  4  10  100  4
18  6  100  100  100  100  100  100  100  10  10  100  10  100  5  100  100  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  0  1  0  0  0  0  1  1  0  0  0  0  1  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  1  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
10  .  .  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  0  0  0  0  0  0  1  1  0  0  0  0  1  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  1  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  10
2  1  16
3  4  17
4  8  10
5  14  15
6  3  4
7  9  16
8  1  11
9  6  12
10  10  12
11  12  13
12  15  16
13  15  17
14  17  18
15  1  5
16  2  3
17  7  8
;
