param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  6  6  3  8  9  8  2  6  4  3  2  7  10  5  9  10  5
2  6  100  2  10  7  5  5  9  5  9  9  3  6  10  5  7  7  7
3  6  2  100  8  7  3  8  7  2  5  8  3  9  2  9  2  6  7
4  3  10  8  100  9  9  4  4  7  5  3  5  8  2  3  7  3  2
5  8  7  7  9  100  8  9  3  8  3  5  6  3  2  9  8  9  3
6  9  5  3  9  8  100  5  2  2  7  10  5  5  2  9  4  3  3
7  8  5  8  4  9  5  100  9  2  4  7  10  6  4  7  2  8  7
8  2  9  7  4  3  2  9  100  9  6  2  8  6  9  4  7  8  4
9  6  5  2  7  8  2  2  9  100  5  6  10  5  10  2  4  6  9
10  4  9  5  5  3  7  4  6  5  100  9  2  7  6  3  8  5  3
11  3  9  8  3  5  10  7  2  6  9  100  3  9  9  6  3  5  9
12  2  3  3  5  6  5  10  8  10  2  3  100  8  7  6  9  8  2
13  7  6  9  8  3  5  6  6  5  7  9  8  100  6  7  8  3  6
14  10  10  2  2  2  2  4  9  10  6  9  7  6  100  4  9  10  9
15  5  5  9  3  9  9  7  4  2  3  6  6  7  4  100  6  2  4
16  9  7  2  7  8  4  2  7  4  8  3  9  8  9  6  100  10  5
17  10  7  6  3  9  3  8  8  6  5  5  8  3  10  2  10  100  6
18  5  7  7  2  3  3  7  4  9  3  9  2  6  9  4  5  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  2  6  100  100  100  100  100  100  100  100  100  5  100  100  100  4  4
2  2  100  9  100  100  100  8  100  2  100  100  100  100  100  8  100  100  100
3  6  9  100  3  100  7  100  100  100  100  6  100  100  100  100  4  100  10
4  100  100  3  100  5  100  100  100  100  100  2  100  100  100  100  100  100  100
5  100  100  100  5  100  4  100  100  7  100  100  4  100  100  100  100  100  100
6  100  100  7  100  4  100  9  6  100  100  100  100  5  100  100  100  100  100
7  100  8  100  100  100  9  100  10  100  100  100  100  100  100  100  100  100  100
8  100  100  100  100  100  6  10  100  8  100  100  100  100  100  100  3  100  100
9  100  2  100  100  7  100  100  8  100  6  100  9  100  100  100  100  100  100
10  100  100  100  100  100  100  100  100  6  100  2  100  100  100  9  100  100  100
11  100  100  6  2  100  100  100  100  100  2  100  6  100  100  100  100  5  7
12  100  100  100  100  4  100  100  100  9  100  6  100  2  100  100  100  9  100
13  5  100  100  100  100  5  100  100  100  100  100  2  100  2  100  100  100  100
14  100  100  100  100  100  100  100  100  100  100  100  100  2  100  9  100  4  100
15  100  8  100  100  100  100  100  100  100  9  100  100  100  9  100  8  100  100
16  100  100  4  100  100  100  100  3  100  100  100  100  100  100  8  100  2  100
17  4  100  100  100  100  100  100  100  100  100  5  9  100  4  100  2  100  3
18  4  100  10  100  100  100  100  100  100  100  7  100  100  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0
2  .  .  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  1  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  1  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  2  9
3  4  11
4  10  11
5  12  13
6  13  14
7  16  17
8  3  4
9  8  16
10  17  18
11  1  17
12  3  16
13  5  6
14  5  12
15  14  17
16  1  13
17  2  7
;
