param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  7  4  9  4  10  3  8  8  6  4  4  8  3  10  6  3  3
2  7  100  3  8  10  3  5  7  4  6  10  6  3  3  5  8  7  7
3  4  3  100  7  2  3  8  2  4  10  5  3  8  8  6  3  3  7
4  9  8  7  100  2  2  7  5  2  9  5  10  3  7  8  7  5  9
5  4  10  2  2  100  6  4  5  10  5  7  8  2  6  4  3  4  5
6  10  3  3  2  6  100  7  8  9  2  10  4  7  2  9  3  6  3
7  3  5  8  7  4  7  100  2  6  9  3  8  2  10  3  2  9  3
8  8  7  2  5  5  8  2  100  4  2  5  10  7  6  9  10  5  3
9  8  4  4  2  10  9  6  4  100  7  7  2  2  4  10  3  4  7
10  6  6  10  9  5  2  9  2  7  100  7  10  8  10  8  9  9  8
11  4  10  5  5  7  10  3  5  7  7  100  6  3  3  2  10  9  10
12  4  6  3  10  8  4  8  10  2  10  6  100  7  7  3  4  9  2
13  8  3  8  3  2  7  2  7  2  8  3  7  100  2  8  7  9  10
14  3  3  8  7  6  2  10  6  4  10  3  7  2  100  8  5  10  7
15  10  5  6  8  4  9  3  9  10  8  2  3  8  8  100  3  5  3
16  6  8  3  7  3  3  2  10  3  9  10  4  7  5  3  100  8  2
17  3  7  3  5  4  6  9  5  4  9  9  9  9  10  5  8  100  4
18  3  7  7  9  5  3  3  3  7  8  10  2  10  7  3  2  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  8  9  100  100  6  100  100  100  100  100  100  100  2  100  100  10  5
2  8  100  3  100  100  100  7  9  100  100  100  100  10  100  100  100  9  100
3  9  3  100  8  100  100  100  100  100  100  100  100  3  100  100  4  8  100
4  100  100  8  100  6  100  100  100  10  100  100  100  100  100  100  100  100  9
5  100  100  100  6  100  5  100  100  100  9  100  100  100  7  100  100  100  100
6  6  100  100  100  5  100  10  100  5  100  100  100  100  2  100  100  100  100
7  100  7  100  100  100  10  100  7  10  100  100  100  100  100  100  100  100  100
