param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  7  6  5  3  10  10  2  9  8  4  10  8  4  4  7  6  9
2  7  100  10  7  10  3  9  9  6  10  4  5  9  5  4  8  6  3
3  6  10  100  8  6  4  2  4  9  5  5  8  4  6  8  10  2  6
4  5  7  8  100  8  7  4  5  2  8  7  3  6  7  3  5  6  5
5  3  10  6  8  100  8  9  4  10  7  5  6  3  3  4  7  8  8
6  10  3  4  7  8  100  8  2  3  9  9  4  8  4  6  5  5  2
7  10  9  2  4  9  8  100  7  3  9  2  6  7  8  6  10  10  9
8  2  9  4  5  4  2  7  100  2  10  7  10  3  8  8  8  7  3
9  9  6  9  2  10  3  3  2  100  5  4  9  3  5  4  3  9  9
10  8  10  5  8  7  9  9  10  5  100  2  10  4  9  3  9  9  10
11  4  4  5  7  5  9  2  7  4  2  100  7  10  8  9  3  10  8
12  10  5  8  3  6  4  6  10  9  10  7  100  6  4  7  3  7  6
13  8  9  4  6  3  8  7  3  3  4  10  6  100  3  2  5  4  3
14  4  5  6  7  3  4  8  8  5  9  8  4  3  100  10  7  7  6
15  4  4  8  3  4  6  6  8  4  3  9  7  2  10  100  8  2  5
16  7  8  10  5  7  5  10  8  3  9  3  3  5  7  8  100  5  2
17  6  6  2  6  8  5  10  7  9  9  10  7  4  7  2  5  100  3
18  9  3  6  5  8  2  9  3  9  10  8  6  3  6  5  2  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  6  100  100  8  100  6  6  10  100  100  100  100  9  100  100  9  7
2  6  100  10  100  100  7  100  100  100  100  100  2  100  100  100  100  100  100
3  100  10  100  2  100  100  100  3  100  100  100  100  100  100  100  5  100  100
4  100  100  2  100  5  9  5  100  100  100  100  100  100  100  6  100  100  100
5  8  100  100  5  100  5  100  100  10  100  100  100  100  100  7  3  100  100
6  100  7  100  9  5  100  4  100  100  100  100  100  4  100  100  100  100  100
7  6  100  100  5  100  4  100  6  10  100  100  100  100  2  100  7  9  100
8  6  100  3  100  100  100  6  100  7  100  100  100  6  100  100  100  100  100
9  10  100  100  100  10  100  10  7  100  2  100  100  100  100  100  100  10  100
10  100  100  100  100  100  100  100  100  2  100  6  100  100  100  100  10  100  100
11  100  100  100  100  100  100  100  100  100  6  100  6  6  100  100  100  100  100
12  100  2  100  100  100  100  100  100  100  100  6  100  9  100  100  3  100  2
13  100  100  100  100  100  4  100  6  100  100  6  9  100  9  100  5  100  100
14  9  100  100  100  100  100  2  100  100  100  100  100  9  100  2  100  100  100
15  100  100  100  6  7  100  100  100  100  100  100  100  100  2  100  4  100  100
16  100  100  5  100  3  100  7  100  100  10  100  3  5  100  4  100  2  100
17  9  100  100  100  100  100  9  100  10  100  100  100  100  100  100  2  100  2
18  7  100  100  100  100  100  100  100  100  100  100  2  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
3  .  .  .  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0
