param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  4  9  6  6  8  5  4  3  5  10  8  10  2  6  3  6  7
2  4  100  3  3  7  2  8  4  2  10  8  4  4  9  5  5  3  2
3  9  3  100  9  4  7  8  9  7  2  9  8  2  5  4  6  2  2
4  6  3  9  100  6  10  4  7  9  7  3  2  4  6  2  4  10  3
5  6  7  4  6  100  8  2  2  3  5  8  5  3  4  8  5  8  3
6  8  2  7  10  8  100  2  3  5  7  10  5  5  6  10  7  3  3
7  5  8  8  4  2  2  100  6  2  7  5  3  6  3  2  2  8  9
8  4  4  9  7  2  3  6  100  6  6  6  2  9  5  8  8  4  6
9  3  2  7  9  3  5  2  6  100  4  9  7  8  2  4  6  7  4
10  5  10  2  7  5  7  7  6  4  100  7  8  10  10  9  3  10  5
11  10  8  9  3  8  10  5  6  9  7  100  3  10  8  4  10  8  9
12  8  4  8  2  5  5  3  2  7  8  3  100  5  8  9  4  8  7
13  10  4  2  4  3  5  6  9  8  10  10  5  100  7  7  4  2  8
14  2  9  5  6  4  6  3  5  2  10  8  8  7  100  9  3  4  2
15  6  5  4  2  8  10  2  8  4  9  4  9  7  9  100  7  3  9
16  3  5  6  4  5  7  2  8  6  3  10  4  4  3  7  100  5  6
17  6  3  2  10  8  3  8  4  7  10  8  8  2  4  3  5  100  3
18  7  2  2  3  3  3  9  6  4  5  9  7  8  2  9  6  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  9  100  3  100  100  100  100  100  8  8  100  100  100  6  100  6  8
2  9  100  3  3  100  100  100  100  100  8  5  2  100  2  100  100  100  100
3  100  3  100  2  7  100  3  9  100  100  10  100  2  100  100  5  100  100
4  3  3  2  100  4  100  2  100  100  100  100  100  9  5  100  100  100  100
5  100  100  7  4  100  3  100  100  100  5  10  100  100  9  100  100  100  100
6  100  100  100  100  3  100  4  100  100  10  100  100  100  100  100  100  100  100
7  100  100  3  2  100  4  100  8  100  100  100  100  100  100  100  100  100  100
8  100  100  9  100  100  100  8  100  4  100  8  100  100  100  6  100  100  100
9  100  100  100  100  100  100  100  4  100  10  2  2  100  100  100  100  100  100
10  8  8  100  100  5  10  100  100  10  100  3  100  9  9  100  100  100  100
11  8  5  10  100  10  100  100  8  2  3  100  10  100  100  3  100  100  100
12  100  2  100  100  100  100  100  100  2  100  10  100  8  100  100  100  100  100
13  100  100  2  9  100  100  100  100  100  9  100  8  100  4  100  100  100  100
14  100  2  100  5  9  100  100  100  100  9  100  100  4  100  2  100  100  100
15  6  100  100  100  100  100  100  6  100  100  3  100  100  2  100  4  2  100
16  100  100  5  100  100  100  100  100  100  100  100  100  100  100  4  100  5  2
17  6  100  100  100  100  100  100  100  100  100  100  100  100  100  2  5  100  2
18  8  100  100  100  100  100  100  100  100  100  100  100  100  100  100  2  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0
4  .  .  .  .  1  0  1  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  1
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  12
2  2  14
3  3  4
4  3  13
5  4  7
6  9  11
7  9  12
8  14  15
