param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  3  3  4  10  8  8  9  4  6  5  9  8  9  4  3  3  5
2  3  100  6  10  6  6  7  7  5  7  2  4  6  5  5  5  5  2
3  3  6  100  5  5  8  5  7  8  10  6  7  7  6  6  9  7  7
4  4  10  5  100  2  4  5  3  7  3  6  10  9  4  10  2  2  5
5  10  6  5  2  100  4  4  6  3  3  4  3  10  8  9  7  9  8
6  8  6  8  4  4  100  3  10  7  9  9  6  10  4  3  2  10  4
7  8  7  5  5  4  3  100  7  3  6  3  9  2  2  4  10  4  6
8  9  7  7  3  6  10  7  100  9  6  2  5  3  4  9  8  5  9
9  4  5  8  7  3  7  3  9  100  10  3  3  7  3  5  3  7  3
10  6  7  10  3  3  9  6  6  10  100  5  3  6  4  8  10  10  5
11  5  2  6  6  4  9  3  2  3  5  100  4  5  9  10  10  5  8
12  9  4  7  10  3  6  9  5  3  3  4  100  5  7  10  10  2  10
13  8  6  7  9  10  10  2  3  7  6  5  5  100  8  2  3  7  10
14  9  5  6  4  8  4  2  4  3  4  9  7  8  100  6  9  5  2
15  4  5  6  10  9  3  4  9  5  8  10  10  2  6  100  4  5  2
16  3  5  9  2  7  2  10  8  3  10  10  10  3  9  4  100  8  7
17  3  5  7  2  9  10  4  5  7  10  5  2  7  5  5  8  100  7
18  5  2  7  5  8  4  6  9  3  5  8  10  10  2  2  7  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  8  100  100  100  100  100  4  3  100  100  9  2  2  100  100  100  9
2  8  100  8  4  100  100  100  100  9  5  100  100  100  100  7  100  100  100
3  100  8  100  7  100  8  4  100  100  100  100  9  100  2  100  100  100  100
4  100  4  7  100  7  6  7  5  100  100  100  100  100  100  100  100  100  8
5  100  100  100  7  100  8  100  100  100  100  100  100  100  100  9  100  100  100
6  100  100  8  6  8  100  2  100  3  100  100  100  100  9  100  100  9  100
7  100  100  4  7  100  2  100  9  6  100  100  100  2  100  100  100  2  100
8  4  100  100  5  100  100  9  100  7  8  5  3  100  100  100  100  10  100
9  3  9  100  100  100  3  6  7  100  7  9  100  100  100  100  4  7  10
10  100  5  100  100  100  100  100  8  7  100  10  100  100  100  100  100  9  2
11  100  100  100  100  100  100  100  5  9  10  100  8  100  100  100  100  9  10
12  9  100  9  100  100  100  100  3  100  100  8  100  6  100  100  3  100  100
13  2  100  100  100  100  100  2  100  100  100  100  6  100  10  100  7  7  100
14  2  100  2  100  100  9  100  100  100  100  100  100  10  100  10  100  100  100
15  100  7  100  100  9  100  100  100  100  100  100  100  100  10  100  8  100  100
16  100  100  100  100  100  100  100  100  4  100  100  3  7  100  8  100  8  100
17  100  100  100  100  100  9  2  10  7  9  9  100  7  100  100  8  100  2
18  9  100  100  8  100  100  100  100  10  2  10  100  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  0  0  0  0  0  0  1  1  0  0  0  1  1  0  0  0  0
2  .  .  0  1  0  0  0  0  0  1  0  0  0  0  1  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0  1  0
8  .  .  .  .  .  .  .  .  0  0  1  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  1
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  1  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
