param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  4  8  2  3  8  7  4  9  3
2  2  100  5  8  10  2  9  3  9  7  6
3  4  5  100  6  8  2  4  9  2  4  4
4  8  8  6  100  7  6  3  3  6  3  4
5  2  10  8  7  100  2  10  7  6  4  2
6  3  2  2  6  2  100  4  8  9  7  10
7  8  9  4  3  10  4  100  4  9  6  5
8  7  3  9  3  7  8  4  100  8  4  10
9  4  9  2  6  6  9  9  8  100  5  7
10  9  7  4  3  4  7  6  4  5  100  9
11  3  6  4  4  2  10  5  10  7  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  8  100  100  100  100  100  100  5  100  7
2  8  100  4  10  5  100  100  100  100  100  100
3  100  4  100  3  100  100  100  3  100  100  8
4  100  10  3  100  9  100  100  5  100  100  100
5  100  5  100  9  100  9  100  100  100  100  100
6  100  100  100  100  9  100  8  100  100  100  100
7  100  100  100  100  100  8  100  7  6  100  100
8  100  100  3  5  100  100  7  100  2  100  100
9  5  100  100  100  100  100  6  2  100  2  100
10  100  100  100  100  100  100  100  100  2  100  8
11  7  100  8  100  100  100  100  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  1  0  1
2  .  .  1  0  1  0  0  0  0  0  0
3  .  .  .  1  0  0  0  1  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  1  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  1  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  8  9
2  9  10
3  3  4
4  3  8
5  2  3
6  1  9
7  2  5
8  7  9
9  1  11
10  6  7
;
