param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  7  4  3  8  7  8  5  6  4  2
2  7  100  8  8  7  5  2  10  8  5  8
3  4  8  100  8  8  8  6  7  10  2  7
4  3  8  8  100  3  7  4  2  7  2  2
5  8  7  8  3  100  3  7  3  4  6  5
6  7  5  8  7  3  100  4  2  4  2  6
7  8  2  6  4  7  4  100  9  2  9  9
8  5  10  7  2  3  2  9  100  10  6  10
9  6  8  10  7  4  4  2  10  100  5  6
10  4  5  2  2  6  2  9  6  5  100  8
11  2  8  7  2  5  6  9  10  6  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  5  5  100  100  100  7  3  100  100  10
2  5  100  2  100  100  10  100  7  2  100  100
3  5  2  100  10  100  100  100  100  100  100  100
4  100  100  10  100  5  100  100  100  8  100  100
5  100  100  100  5  100  10  2  100  100  4  5
6  100  10  100  100  10  100  4  100  100  100  8
7  7  100  100  100  2  4  100  2  100  100  100
8  3  7  100  100  100  100  2  100  7  100  3
9  100  2  100  8  100  100  100  7  100  4  2
10  100  100  100  100  4  100  100  100  4  100  6
11  10  100  100  100  5  8  100  3  2  6  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  1  0  0  0
2  .  .  1  0  0  0  0  0  1  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  1  0  0  1  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  1
9  .  .  .  .  .  .  .  .  .  0  1
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  1  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  1  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  1
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  3
2  2  9
3  5  7
4  7  8
5  9  11
6  1  8
7  8  11
8  5  10
9  6  7
10  4  5
;
