param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  4  9  10  9  8  3  10  4  5
2  6  100  10  5  9  8  6  10  7  9  2
3  4  10  100  6  4  9  8  4  6  2  6
4  9  5  6  100  7  4  3  3  3  3  6
5  10  9  4  7  100  2  3  9  4  5  10
6  9  8  9  4  2  100  10  7  7  4  9
7  8  6  8  3  3  10  100  8  7  5  2
8  3  10  4  3  9  7  8  100  5  8  5
9  10  7  6  3  4  7  7  5  100  3  6
10  4  9  2  3  5  4  5  8  3  100  9
11  5  2  6  6  10  9  2  5  6  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  100  100  100  100  100  100  100  100  4
2  2  100  4  100  4  100  4  100  100  100  100
3  100  4  100  4  100  3  100  100  100  2  100
4  100  100  4  100  2  100  100  10  100  100  100
5  100  4  100  2  100  5  100  100  100  100  100
6  100  100  3  100  5  100  10  10  100  4  100
7  100  4  100  100  100  10  100  4  100  100  2
8  100  100  100  10  100  10  4  100  5  100  100
9  100  100  100  100  100  100  100  5  100  9  100
10  100  100  2  100  100  4  100  100  9  100  4
11  4  100  100  100  100  100  2  100  100  4  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  1  0  1  0  0  0  0  0  0
3  .  .  .  0  0  1  0  0  0  1  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  1
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  1  0  0  0  1  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  3  10
3  4  5
4  7  11
5  3  6
6  1  11
7  2  3
8  2  5
9  7  8
10  8  9
;
