param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  9  7  4  4  3  10  5  3  6  7
2  9  100  2  2  8  3  7  10  3  8  10
3  7  2  100  5  6  2  6  7  6  3  10
4  4  2  5  100  5  7  8  5  8  4  8
5  4  8  6  5  100  6  7  6  7  5  7
6  3  3  2  7  6  100  8  10  8  9  5
7  10  7  6  8  7  8  100  4  8  9  7
8  5  10  7  5  6  10  4  100  2  8  3
9  3  3  6  8  7  8  8  2  100  8  5
10  6  8  3  4  5  9  9  8  8  100  3
11  7  10  10  8  7  5  7  3  5  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  3  100  100  100  100  100  100  100  100  10
2  3  100  3  100  100  100  100  100  8  100  7
3  100  3  100  5  4  100  100  100  3  100  100
4  100  100  5  100  9  100  100  100  100  6  100
5  100  100  4  9  100  5  100  100  100  100  100
6  100  100  100  100  5  100  5  100  100  100  100
7  100  100  100  100  100  5  100  3  100  100  100
8  100  100  100  100  100  100  3  100  10  100  100
9  100  8  3  100  100  100  100  10  100  3  100
10  100  100  100  6  100  100  100  100  3  100  7
11  10  7  100  100  100  100  100  100  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  1
3  .  .  .  1  1  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  2  3
3  3  9
4  7  8
5  9  10
6  3  5
7  3  4
8  5  6
9  6  7
10  2  11
;
