param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  7  8  6  5  3  4  9  9  8
2  2  100  2  9  7  8  6  10  8  6  2
3  7  2  100  2  4  4  10  9  10  9  7
4  8  9  2  100  9  6  8  6  4  7  9
5  6  7  4  9  100  5  9  10  6  2  2
6  5  8  4  6  5  100  8  4  8  10  6
7  3  6  10  8  9  8  100  5  10  2  4
8  4  10  9  6  10  4  5  100  2  10  7
9  9  8  10  4  6  8  10  2  100  5  2
10  9  6  9  7  2  10  2  10  5  100  8
11  8  2  7  9  2  6  4  7  2  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  7  100  8  100  3  100  100  100  100  3
2  7  100  7  100  100  100  100  9  9  4  100
3  100  7  100  8  100  100  9  100  100  100  100
4  8  100  8  100  3  100  100  100  100  100  4
5  100  100  100  3  100  10  100  100  100  3  100
6  3  100  100  100  10  100  6  7  100  100  100
7  100  100  9  100  100  6  100  7  100  100  100
8  100  9  100  100  100  7  7  100  7  7  100
9  100  9  100  100  100  100  100  7  100  6  100
10  100  4  100  100  3  100  100  7  6  100  2
11  3  100  100  4  100  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  1  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  1  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  1  0
6  .  .  .  .  .  .  1  1  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  1  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  1  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  10  11
2  1  6
3  1  11
4  4  5
5  5  10
6  2  10
7  6  7
8  9  10
9  2  3
10  6  8
;
