param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  3  5  7  4  7  9  5  9  8  5
2  3  100  2  2  6  7  6  8  2  2  2
3  5  2  100  10  7  6  6  5  4  2  8
4  7  2  10  100  3  2  7  6  10  3  3
5  4  6  7  3  100  3  5  8  8  9  10
6  7  7  6  2  3  100  6  3  5  5  5
7  9  6  6  7  5  6  100  4  8  9  2
8  5  8  5  6  8  3  4  100  3  7  3
9  9  2  4  10  8  5  8  3  100  8  4
10  8  2  2  3  9  5  9  7  8  100  5
11  5  2  8  3  10  5  2  3  4  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  100  100  100  5  100  100  100  100  10
2  2  100  8  100  100  2  5  100  100  100  100
3  100  8  100  6  10  100  100  100  100  100  100
4  100  100  6  100  5  10  100  3  100  7  100
5  100  100  10  5  100  3  100  100  100  100  9
6  5  2  100  10  3  100  4  100  100  100  100
7  100  5  100  100  100  4  100  6  100  100  100
8  100  100  100  3  100  100  6  100  8  100  100
9  100  100  100  100  100  100  100  8  100  6  100
10  100  100  100  7  100  100  100  100  6  100  7
11  10  100  100  100  9  100  100  100  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  1  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  1  0  1  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  1  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  1  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  2  6
3  4  8
4  5  6
5  6  7
6  4  5
7  3  4
8  9  10
9  4  10
10  10  11
;
