param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  9  10  5  2  9  6  4  9  2
2  6  100  2  8  10  6  6  4  10  9  4
3  9  2  100  9  10  8  6  7  5  8  8
4  10  8  9  100  4  3  10  9  8  2  4
5  5  10  10  4  100  7  10  8  9  8  9
6  2  6  8  3  7  100  4  3  9  9  2
7  9  6  6  10  10  4  100  4  8  7  2
8  6  4  7  9  8  3  4  100  5  3  7
9  4  10  5  8  9  9  8  5  100  2  9
10  9  9  8  2  8  9  7  3  2  100  2
11  2  4  8  4  9  2  2  7  9  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  100  100  100  100  100  6  100  100  4
2  2  100  6  100  100  100  5  100  100  7  100
3  100  6  100  8  100  100  100  5  100  100  100
4  100  100  8  100  5  100  100  100  100  100  100
5  100  100  100  5  100  3  3  100  100  100  100
6  100  100  100  100  3  100  3  100  100  100  100
7  100  5  100  100  3  3  100  3  100  100  100
8  6  100  5  100  100  100  3  100  4  100  100
9  100  100  100  100  100  100  100  4  100  2  100
10  100  7  100  100  100  100  100  100  2  100  6
11  4  100  100  100  100  100  100  100  100  6  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  1  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  1  1  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  1  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  9  10
3  5  6
4  5  7
5  7  8
6  1  11
7  8  9
8  2  7
9  3  8
10  4  5
;
