param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  6  9  9  4  6  4  6  9  4
2  6  100  4  7  10  2  2  7  6  2  4
3  6  4  100  4  10  10  7  4  4  3  4
4  9  7  4  100  3  7  7  5  7  2  8
5  9  10  10  3  100  7  10  5  7  5  8
6  4  2  10  7  7  100  8  3  4  5  2
7  6  2  7  7  10  8  100  10  4  10  9
8  4  7  4  5  5  3  10  100  4  10  8
9  6  6  4  7  7  4  4  4  100  4  10
10  9  2  3  2  5  5  10  10  4  100  7
11  4  4  4  8  8  2  9  8  10  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  7  3  100  8  100  100  100  9  100  6
2  7  100  3  100  100  100  100  100  100  100  100
3  3  3  100  5  100  100  100  100  4  100  100
4  100  100  5  100  9  100  100  100  100  100  2
5  8  100  100  9  100  2  100  100  7  100  100
6  100  100  100  100  2  100  10  100  100  100  100
7  100  100  100  100  100  10  100  6  8  100  10
8  100  100  100  100  100  100  6  100  4  100  100
9  9  100  4  100  7  100  8  4  100  3  10
10  100  100  100  100  100  100  100  100  3  100  3
11  6  100  100  2  100  100  10  100  10  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  1  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  1
5  .  .  .  .  .  1  0  0  1  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  1  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  1
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  4  11
2  5  6
3  1  3
4  2  3
5  9  10
6  10  11
7  3  9
8  8  9
9  7  8
10  5  9
;
