param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  9  9  2  6  9  3  3  3  2  9
2  9  100  3  7  7  8  7  8  2  9  6
3  9  3  100  6  6  5  3  7  10  7  2
4  2  7  6  100  9  9  9  4  10  6  7
5  6  7  6  9  100  5  10  2  7  5  6
6  9  8  5  9  5  100  5  8  2  3  9
7  3  7  3  9  10  5  100  5  4  7  2
8  3  8  7  4  2  8  5  100  8  10  2
9  3  2  10  10  7  2  4  8  100  8  10
10  2  9  7  6  5  3  7  10  8  100  5
11  9  6  2  7  6  9  2  2  10  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  8  100  100  8  100  10  8  100  100  5
2  8  100  7  100  100  100  9  100  100  100  100
3  100  7  100  7  100  100  100  9  100  6  100
4  100  100  7  100  6  100  100  100  4  100  100
5  8  100  100  6  100  6  100  100  100  100  100
6  100  100  100  100  6  100  2  100  8  6  100
7  10  9  100  100  100  2  100  8  100  100  100
8  8  100  9  100  100  100  8  100  7  4  100
9  100  100  100  4  100  8  100  7  100  4  100
10  100  100  6  100  100  6  100  4  4  100  8
11  5  100  100  100  100  100  100  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  0
4  .  .  .  .  1  0  0  0  1  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  1  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  6  7
2  4  9
3  8  10
4  9  10
5  1  11
6  3  10
7  4  5
8  5  6
9  2  3
10  1  2
;
