param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  10  2  5  3  7  10  8  9  3
2  2  100  6  9  2  5  5  3  4  10  4
3  10  6  100  9  10  6  10  2  4  8  6
4  2  9  9  100  5  10  8  8  2  3  9
5  5  2  10  5  100  6  9  7  3  6  8
6  3  5  6  10  6  100  2  10  3  9  6
7  7  5  10  8  9  2  100  10  6  2  2
8  10  3  2  8  7  10  10  100  10  9  9
9  8  4  4  2  3  3  6  10  100  9  7
10  9  10  8  3  6  9  2  9  9  100  10
11  3  4  6  9  8  6  2  9  7  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  4  100  5  100  100  100  100  100  7  6
2  4  100  5  100  100  100  6  7  100  100  100
3  100  5  100  5  100  100  100  100  100  2  3
4  5  100  5  100  8  100  100  100  100  100  100
5  100  100  100  8  100  8  6  100  100  100  100
6  100  100  100  100  8  100  9  9  100  10  100
7  100  6  100  100  6  9  100  4  100  100  7
8  100  7  100  100  100  9  4  100  3  100  9
9  100  100  100  100  100  100  100  3  100  8  3
10  7  100  2  100  100  10  100  100  8  100  7
11  6  100  3  100  100  100  7  9  3  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  1  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  1
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  1  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  1
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  1
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  1
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  10
2  3  11
3  8  9
4  9  11
5  1  2
6  7  8
7  1  4
8  2  3
9  5  7
10  5  6
;
