param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  4  8  9  8  5  3  5  6  10  10
2  4  100  9  8  5  6  3  3  6  5  9
3  8  9  100  3  6  8  3  2  4  6  6
4  9  8  3  100  10  5  7  9  8  7  3
5  8  5  6  10  100  9  6  8  3  6  10
6  5  6  8  5  9  100  5  7  8  8  6
7  3  3  3  7  6  5  100  4  7  6  4
8  5  3  2  9  8  7  4  100  5  5  2
9  6  6  4  8  3  8  7  5  100  9  9
10  10  5  6  7  6  8  6  5  9  100  4
11  10  9  6  3  10  6  4  2  9  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  7  100  100  100  100  100  100  100  100  4
2  7  100  8  100  100  100  9  100  100  100  100
3  100  8  100  6  100  100  100  4  100  6  9
4  100  100  6  100  6  100  100  100  100  100  100
5  100  100  100  6  100  2  3  100  100  100  100
6  100  100  100  100  2  100  9  7  4  100  100
7  100  9  100  100  3  9  100  6  100  100  100
8  100  100  4  100  100  7  6  100  9  100  100
9  100  100  100  100  100  4  100  9  100  2  100
10  100  100  6  100  100  100  100  100  2  100  10
11  4  100  9  100  100  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  1  0  1  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  1  0  0  0  0
6  .  .  .  .  .  .  0  0  1  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  1  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  5  6
2  9  10
3  5  7
4  1  11
5  3  8
6  6  9
7  3  4
8  3  10
9  1  2
10  2  3
;
