param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  8  6  7  10  7  8  5  9  8  7
2  8  100  3  8  10  5  3  5  10  6  7
3  6  3  100  5  6  9  5  3  7  3  3
4  7  8  5  100  5  2  2  10  5  4  3
5  10  10  6  5  100  5  9  9  3  8  7
6  7  5  9  2  5  100  4  10  5  10  7
7  8  3  5  2  9  4  100  10  6  4  4
8  5  5  3  10  9  10  10  100  8  6  7
9  9  10  7  5  3  5  6  8  100  5  8
10  8  6  3  4  8  10  4  6  5  100  7
11  7  7  3  3  7  7  4  7  8  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  100  100  100  100  100  100  8  100  6
2  6  100  10  7  100  100  8  100  100  100  100
3  100  10  100  7  5  100  100  100  100  6  100
4  100  7  7  100  7  100  100  100  100  100  10
5  100  100  5  7  100  5  100  100  100  100  100
6  100  100  100  100  5  100  8  100  10  5  100
7  100  8  100  100  100  8  100  6  100  100  3
8  100  100  100  100  100  100  6  100  2  100  100
9  8  100  100  100  100  10  100  2  100  7  100
10  100  100  6  100  100  5  100  100  7  100  9
11  6  100  100  10  100  100  3  100  100  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  0  1  0  0  0  0  0  0  0
3  .  .  .  1  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  1  0
7  .  .  .  .  .  .  .  1  0  0  1
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  1  0
7  .  .  .  .  .  .  .  0  0  0  1
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  8  9
2  7  11
3  3  5
4  5  6
5  6  10
6  1  2
7  1  11
8  7  8
9  2  4
10  3  4
;
