param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  4  5  4  5  2  10  7  3  9  4
2  4  100  2  8  3  2  8  5  9  6  3
3  5  2  100  9  6  3  3  3  10  7  4
4  4  8  9  100  7  6  10  3  5  8  10
5  5  3  6  7  100  7  9  2  8  8  2
6  2  2  3  6  7  100  6  2  2  8  3
7  10  8  3  10  9  6  100  4  8  5  4
8  7  5  3  3  2  2  4  100  2  5  4
9  3  9  10  5  8  2  8  2  100  8  4
10  9  6  7  8  8  8  5  5  8  100  3
11  4  3  4  10  2  3  4  4  4  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  9  100  5  100  100  100  100  100  100  10
2  9  100  4  100  100  100  100  100  100  9  4
3  100  4  100  8  100  7  100  100  100  100  100
4  5  100  8  100  8  100  7  4  3  100  10
5  100  100  100  8  100  6  5  100  100  100  100
6  100  100  7  100  6  100  3  100  100  9  100
7  100  100  100  7  5  3  100  4  100  100  100
8  100  100  100  4  100  100  4  100  8  100  100
9  100  100  100  3  100  100  100  8  100  10  100
10  100  9  100  100  100  9  100  100  10  100  5
11  10  4  100  10  100  100  100  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  1  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  1
3  .  .  .  0  0  1  0  0  0  0  0
4  .  .  .  .  0  0  0  1  1  0  0
5  .  .  .  .  .  0  1  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  1
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  1  1  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  4  9
2  6  7
3  2  3
4  2  11
5  4  8
6  7  8
7  1  4
8  5  7
9  10  11
10  3  6
;
