param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  8  8  7  4  8  5  3  7  8  8
2  8  100  10  5  2  8  9  7  4  6  9
3  8  10  100  2  7  9  5  7  3  2  6
4  7  5  2  100  4  5  2  5  3  7  4
5  4  2  7  4  100  9  10  7  6  7  9
6  8  8  9  5  9  100  5  10  3  8  5
7  5  9  5  2  10  5  100  2  6  5  5
8  3  7  7  5  7  10  2  100  2  10  5
9  7  4  3  3  6  3  6  2  100  7  8
10  8  6  2  7  7  8  5  10  7  100  7
11  8  9  6  4  9  5  5  5  8  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  10  100  7  100  100  100  100  3  100  9
2  10  100  2  100  6  100  100  2  100  100  100
3  100  2  100  2  4  100  100  2  100  100  100
4  7  100  2  100  10  100  100  100  100  100  100
5  100  6  4  10  100  4  100  100  100  4  100
6  100  100  100  100  4  100  5  100  100  100  100
7  100  100  100  100  100  5  100  5  100  5  100
8  100  2  2  100  100  100  5  100  7  100  100
9  3  100  100  100  100  100  100  7  100  5  100
10  100  100  100  100  4  100  5  100  5  100  7
11  9  100  100  100  100  100  100  100  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  1  0  0  0  0  1  0  0
2  .  .  1  0  0  0  0  1  0  0  0
3  .  .  .  1  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  1  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  1  0  0
2  .  .  1  0  0  0  0  1  0  0  0
3  .  .  .  1  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  3
2  2  8
3  3  4
4  1  9
5  3  5
6  5  6
7  5  10
8  6  7
9  9  10
10  1  4
;
