param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  9  10  7  10  3  4  10  6  10  7
2  9  100  6  10  9  9  4  6  9  4  10
3  10  6  100  6  6  10  4  7  5  2  7
4  7  10  6  100  6  4  9  7  2  4  2
5  10  9  6  6  100  8  9  5  7  6  9
6  3  9  10  4  8  100  7  6  10  3  10
7  4  4  4  9  9  7  100  10  4  2  2
8  10  6  7  7  5  6  10  100  9  7  6
9  6  9  5  2  7  10  4  9  100  5  9
10  10  4  2  4  6  3  2  7  5  100  2
11  7  10  7  2  9  10  2  6  9  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  10  100  4  4  100  100  100  6  100  9
2  10  100  8  100  100  7  10  9  100  100  100
3  100  8  100  9  100  100  100  100  100  100  100
4  4  100  9  100  10  10  100  100  100  100  100
5  4  100  100  10  100  10  100  100  100  100  100
6  100  7  100  10  10  100  2  100  100  100  100
7  100  10  100  100  100  2  100  8  100  100  100
8  100  9  100  100  100  100  8  100  6  100  100
9  6  100  100  100  100  100  100  6  100  3  8
10  100  100  100  100  100  100  100  100  3  100  7
11  9  100  100  100  100  100  100  100  8  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  1  1  0  0  0  1  0  0
2  .  .  1  0  0  1  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  1  1  0  0  0  1  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  6  7
2  9  10
3  1  4
4  1  5
5  1  9
6  8  9
7  2  6
8  10  11
9  2  3
10  7  8
;
