param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  9  10  8  6  9  5  2  2  3  4
2  9  100  5  7  9  8  10  8  6  9  6
3  10  5  100  4  8  4  6  6  2  4  10
4  8  7  4  100  6  8  9  9  6  2  6
5  6  9  8  6  100  3  9  6  4  6  4
6  9  8  4  8  3  100  2  6  2  4  10
7  5  10  6  9  9  2  100  6  7  5  8
8  2  8  6  9  6  6  6  100  2  9  2
9  2  6  2  6  4  2  7  2  100  7  3
10  3  9  4  2  6  4  5  9  7  100  8
11  4  6  10  6  4  10  8  2  3  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  9  100  4  100  3  100  100  100  100  2
2  9  100  4  2  100  100  3  7  100  4  100
3  100  4  100  9  8  100  100  100  100  100  6
4  4  2  9  100  3  100  100  100  100  100  100
5  100  100  8  3  100  5  100  100  100  100  10
6  3  100  100  100  5  100  5  100  10  100  100
7  100  3  100  100  100  5  100  7  100  100  100
8  100  7  100  100  100  100  7  100  4  9  100
9  100  100  100  100  100  10  100  4  100  8  100
10  100  4  100  100  100  100  100  9  8  100  10
11  2  100  6  100  10  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  1  0  1  0  0  0  0  1
2  .  .  1  1  0  0  1  1  0  1  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  1  0  0  0  0  1
2  .  .  0  1  0  0  1  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  11
2  2  4
3  1  6
4  2  7
5  4  5
6  1  4
7  2  3
8  2  10
9  8  9
10  2  8
;
