param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  9  4  7  5  9  5  7  5  6  2
2  9  100  7  2  2  7  3  7  5  5  5
3  4  7  100  6  7  7  2  2  4  9  10
4  7  2  6  100  5  3  7  2  10  9  3
5  5  2  7  5  100  6  8  8  2  8  10
6  9  7  7  3  6  100  6  2  10  3  9
7  5  3  2  7  8  6  100  10  8  3  7
8  7  7  2  2  8  2  10  100  9  10  8
9  5  5  4  10  2  10  8  9  100  6  7
10  6  5  9  9  8  3  3  10  6  100  8
11  2  5  10  3  10  9  7  8  7  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  8  100  100  100  7  2  9  100  100  4
2  8  100  5  100  100  100  100  100  100  100  7
3  100  5  100  9  100  100  100  100  100  100  100
4  100  100  9  100  7  5  100  100  100  4  100
5  100  100  100  7  100  5  100  4  100  100  100
6  7  100  100  5  5  100  5  100  100  100  100
7  2  100  100  100  100  5  100  7  8  100  100
8  9  100  100  100  4  100  7  100  9  4  100
9  100  100  100  100  100  100  8  9  100  9  10
10  100  100  100  4  100  100  100  4  9  100  8
11  4  7  100  100  100  100  100  100  10  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  1  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  1
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  1  0  0  0  1  0
5  .  .  .  .  .  0  0  1  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  1  0  0
8  .  .  .  .  .  .  .  .  0  1  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  1  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  1  0
5  .  .  .  .  .  0  0  1  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  1  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  7
2  1  11
3  4  10
4  5  8
5  8  10
6  2  3
7  4  6
8  6  7
9  2  11
10  7  9
;
