param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  8  3  9  2  8  4  2  8  7  6
2  8  100  3  2  7  3  8  6  5  6  8
3  3  3  100  8  3  10  10  4  9  3  4
4  9  2  8  100  6  3  10  3  8  2  5
5  2  7  3  6  100  9  2  4  9  4  4
6  8  3  10  3  9  100  2  9  5  5  8
7  4  8  10  10  2  2  100  10  10  4  9
8  2  6  4  3  4  9  10  100  3  9  9
9  8  5  9  8  9  5  10  3  100  2  6
10  7  6  3  2  4  5  4  9  2  100  3
11  6  8  4  5  4  8  9  9  6  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  4  100  100  100  100  8  100  100  100  2
2  4  100  2  100  100  100  100  4  100  100  100
3  100  2  100  3  100  9  100  100  100  100  10
4  100  100  3  100  2  100  100  100  100  100  100
5  100  100  100  2  100  7  8  100  100  100  5
6  100  100  9  100  7  100  8  100  100  100  10
7  8  100  100  100  8  8  100  10  100  100  100
8  100  4  100  100  100  100  10  100  8  100  100
9  100  100  100  100  100  100  100  8  100  8  100
10  100  100  100  100  100  100  100  100  8  100  7
11  2  100  10  100  5  10  100  100  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  1  0  0  0  1
2  .  .  1  0  0  0  0  1  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  11
2  2  3
3  4  5
4  3  4
5  1  2
6  2  8
7  5  6
8  10  11
9  1  7
10  8  9
;
