param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  4  10  5  9  9  3  6  9  2  9
2  4  100  6  2  10  2  10  6  4  4  7
3  10  6  100  2  5  10  10  7  4  8  3
4  5  2  2  100  7  7  8  8  2  3  10
5  9  10  5  7  100  6  7  5  5  10  5
6  9  2  10  7  6  100  2  3  9  6  6
7  3  10  10  8  7  2  100  10  3  8  2
8  6  6  7  8  5  3  10  100  8  3  5
9  9  4  4  2  5  9  3  8  100  8  2
10  2  4  8  3  10  6  8  3  8  100  3
11  9  7  3  10  5  6  2  5  2  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  5  5  100  100  100  100  100  100  100  2
2  5  100  9  100  100  100  100  100  100  100  100
3  5  9  100  3  100  9  100  3  100  100  100
4  100  100  3  100  8  100  100  100  100  100  100
5  100  100  100  8  100  2  100  100  100  100  100
6  100  100  9  100  2  100  4  2  100  100  10
7  100  100  100  100  100  4  100  8  100  100  100
8  100  100  3  100  100  2  8  100  3  8  100
9  100  100  100  100  100  100  100  3  100  2  100
10  100  100  100  100  100  100  100  8  2  100  3
11  2  100  100  100  100  10  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  1  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  1  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  1  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  11
2  5  6
3  6  8
4  9  10
5  3  4
6  3  8
7  8  9
8  10  11
9  6  7
10  1  2
;
