param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  8  5  6  10  7  8  3  5  9
2  2  100  6  7  7  5  10  5  6  10  4
3  8  6  100  7  7  3  9  6  10  3  5
4  5  7  7  100  3  6  2  9  9  5  4
5  6  7  7  3  100  5  7  10  4  4  5
6  10  5  3  6  5  100  8  6  7  8  8
7  7  10  9  2  7  8  100  8  9  5  9
8  8  5  6  9  10  6  8  100  3  8  5
9  3  6  10  9  4  7  9  3  100  4  6
10  5  10  3  5  4  8  5  8  4  100  7
11  9  4  5  4  5  8  9  5  6  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  8  100  100  100  100  100  100  100  100  2
2  8  100  8  100  100  100  100  100  100  100  100
3  100  8  100  3  100  100  100  100  100  6  100
4  100  100  3  100  2  100  100  100  100  100  100
5  100  100  100  2  100  10  100  3  100  100  10
6  100  100  100  100  10  100  7  100  100  100  100
7  100  100  100  100  100  7  100  4  100  100  100
8  100  100  100  100  3  100  4  100  3  100  100
9  100  100  100  100  100  100  100  3  100  5  6
10  100  100  6  100  100  100  100  100  5  100  2
11  2  100  100  100  10  100  100  100  6  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  1  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  1  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  11
2  4  5
3  10  11
4  3  4
5  5  8
6  8  9
7  7  8
8  9  10
9  6  7
10  1  2
;
