param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  9  8  7  4  4  2  7  7  5  9
2  9  100  3  6  8  2  2  4  10  3  7
3  8  3  100  10  6  10  4  10  8  7  3
4  7  6  10  100  9  8  4  7  5  8  3
5  4  8  6  9  100  4  7  5  6  7  9
6  4  2  10  8  4  100  4  8  5  7  2
7  2  2  4  4  7  4  100  2  5  7  3
8  7  4  10  7  5  8  2  100  7  6  6
9  7  10  8  5  6  5  5  7  100  10  5
10  5  3  7  8  7  7  7  6  10  100  9
11  9  7  3  3  9  2  3  6  5  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  100  100  100  10  100  7  100  100  2
2  2  100  3  100  100  6  100  100  100  100  100
3  100  3  100  7  100  100  100  100  100  100  100
4  100  100  7  100  5  100  100  100  100  9  8
5  100  100  100  5  100  4  100  100  100  100  7
6  10  6  100  100  4  100  2  100  100  100  6
7  100  100  100  100  100  2  100  3  100  100  100
8  7  100  100  100  100  100  3  100  2  6  100
9  100  100  100  100  100  100  100  2  100  4  100
10  100  100  100  9  100  100  100  6  4  100  9
11  2  100  100  8  7  6  100  100  100  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  1  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  1  11
3  6  7
4  8  9
5  2  3
6  7  8
7  5  6
8  9  10
9  4  5
10  2  6
;
