param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  6  2  7  5  8  10  3  6  6
2  6  100  6  4  8  4  2  6  9  5  2
3  6  6  100  5  9  3  8  9  2  3  8
4  2  4  5  100  10  4  3  3  3  4  2
5  7  8  9  10  100  6  3  6  4  7  3
6  5  4  3  4  6  100  8  4  10  6  6
7  8  2  8  3  3  8  100  6  10  3  4
8  10  6  9  3  6  4  6  100  10  8  4
9  3  9  2  3  4  10  10  10  100  3  9
10  6  5  3  4  7  6  3  8  3  100  8
11  6  2  8  2  3  6  4  4  9  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  7  100  100  5  100  100  100  6  100  10
2  7  100  9  100  100  9  100  100  100  7  7
3  100  9  100  5  5  100  100  100  10  100  100
4  100  100  5  100  8  5  100  8  100  100  100
5  5  100  5  8  100  4  100  100  100  10  4
6  100  9  100  5  4  100  9  7  100  100  100
7  100  100  100  100  100  9  100  6  100  100  100
8  100  100  100  8  100  7  6  100  4  100  100
9  6  100  10  100  100  100  100  4  100  2  100
10  100  7  100  100  10  100  100  100  2  100  3
11  10  7  100  100  4  100  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  1  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  1
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  1
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  9  10
2  10  11
3  5  6
4  5  11
5  8  9
6  1  5
7  3  4
8  3  5
9  7  8
10  1  2
;
