param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  7  9  4  5  3  5  7  2  7
2  6  100  4  5  8  2  5  8  4  7  3
3  7  4  100  10  4  6  7  3  2  2  5
4  9  5  10  100  9  9  4  4  5  10  4
5  4  8  4  9  100  8  6  5  5  9  7
6  5  2  6  9  8  100  8  4  9  3  10
7  3  5  7  4  6  8  100  5  5  3  5
8  5  8  3  4  5  4  5  100  3  8  7
9  7  4  2  5  5  9  5  3  100  7  9
10  2  7  2  10  9  3  3  8  7  100  9
11  7  3  5  4  7  10  5  7  9  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  3  100  100  100  8  100  100  100  100  2
2  3  100  10  100  100  100  100  100  100  100  100
3  100  10  100  5  100  100  100  100  100  100  9
4  100  100  5  100  6  100  100  100  100  100  100
5  100  100  100  6  100  8  100  100  100  100  100
6  8  100  100  100  8  100  10  100  100  100  100
7  100  100  100  100  100  10  100  2  100  100  100
8  100  100  100  100  100  100  2  100  3  100  100
9  100  100  100  100  100  100  100  3  100  7  100
10  100  100  100  100  100  100  100  100  7  100  10
11  2  100  9  100  100  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  1  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  11
2  7  8
3  1  2
4  8  9
5  3  4
6  4  5
7  9  10
8  1  6
9  5  6
10  2  3
;
