param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  5  3  8  3  3  3  5  2  6
2  6  100  6  7  2  10  7  10  3  6  4
3  5  6  100  9  8  2  4  10  10  4  9
4  3  7  9  100  10  6  6  4  4  7  8
5  8  2  8  10  100  7  10  4  10  6  9
6  3  10  2  6  7  100  5  5  5  3  4
7  3  7  4  6  10  5  100  9  9  9  4
8  3  10  10  4  4  5  9  100  3  7  5
9  5  3  10  4  10  5  9  3  100  10  7
10  2  6  4  7  6  3  9  7  10  100  3
11  6  4  9  8  9  4  4  5  7  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  4  100  9  100  100  100  100  100  8  9
2  4  100  5  100  4  10  100  100  100  100  7
3  100  5  100  9  100  9  2  8  9  5  100
4  9  100  9  100  8  100  100  8  100  100  9
5  100  4  100  8  100  4  100  100  100  100  100
6  100  10  9  100  4  100  7  100  100  100  7
7  100  100  2  100  100  7  100  9  100  100  100
8  100  100  8  8  100  100  9  100  5  5  9
9  100  100  9  100  100  100  100  5  100  4  6
10  8  100  5  100  100  100  100  5  4  100  9
11  9  7  100  9  100  7  100  9  6  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  1  0  1  0  0  0  0  0  0
3  .  .  .  0  0  0  1  0  0  1  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  1
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  1  0  0  0  0  0  0
3  .  .  .  0  0  0  1  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  7
2  1  2
3  2  5
4  5  6
5  9  10
6  2  3
7  3  10
8  8  9
9  9  11
10  4  5
;
